Point_ID,Statistic_ID,Name,Duration,Month,Value,Point_ID2,Distance,Phi2
1,1,variance,1H,1,0.062459714,NA,NA,NA
1,1,variance,1H,2,0.053161774,NA,NA,NA
1,1,variance,1H,3,0.054892314,NA,NA,NA
1,1,variance,1H,4,0.08366458,NA,NA,NA
1,1,variance,1H,5,0.252906673,NA,NA,NA
1,1,variance,1H,6,0.448205626,NA,NA,NA
1,1,variance,1H,7,0.460486499,NA,NA,NA
1,1,variance,1H,8,0.295634949,NA,NA,NA
1,1,variance,1H,9,0.215801237,NA,NA,NA
1,1,variance,1H,10,0.06698803,NA,NA,NA
1,1,variance,1H,11,0.075302889,NA,NA,NA
1,1,variance,1H,12,0.071496741,NA,NA,NA
1,2,skewness,1H,1,6.861872139,NA,NA,NA
1,2,skewness,1H,2,6.98739562,NA,NA,NA
1,2,skewness,1H,3,7.837324149,NA,NA,NA
1,2,skewness,1H,4,12.20296495,NA,NA,NA
1,2,skewness,1H,5,13.60536952,NA,NA,NA
1,2,skewness,1H,6,17.33084233,NA,NA,NA
1,2,skewness,1H,7,16.03732423,NA,NA,NA
1,2,skewness,1H,8,13.23379818,NA,NA,NA
1,2,skewness,1H,9,13.894599,NA,NA,NA
1,2,skewness,1H,10,7.88250462,NA,NA,NA
1,2,skewness,1H,11,6.517003565,NA,NA,NA
1,2,skewness,1H,12,5.7421188,NA,NA,NA
1,3,probability_dry_0.2mm,1H,1,0.817196029,NA,NA,NA
1,3,probability_dry_0.2mm,1H,2,0.8643456,NA,NA,NA
1,3,probability_dry_0.2mm,1H,3,0.874138825,NA,NA,NA
1,3,probability_dry_0.2mm,1H,4,0.920503256,NA,NA,NA
1,3,probability_dry_0.2mm,1H,5,0.879992757,NA,NA,NA
1,3,probability_dry_0.2mm,1H,6,0.917218689,NA,NA,NA
1,3,probability_dry_0.2mm,1H,7,0.923216504,NA,NA,NA
1,3,probability_dry_0.2mm,1H,8,0.901288202,NA,NA,NA
1,3,probability_dry_0.2mm,1H,9,0.89893395,NA,NA,NA
1,3,probability_dry_0.2mm,1H,10,0.881883004,NA,NA,NA
1,3,probability_dry_0.2mm,1H,11,0.861245859,NA,NA,NA
1,3,probability_dry_0.2mm,1H,12,0.827688338,NA,NA,NA
1,4,mean,24H,1,1.657750479,NA,NA,NA
1,4,mean,24H,2,1.39049809,NA,NA,NA
1,4,mean,24H,3,1.306398878,NA,NA,NA
1,4,mean,24H,4,1.140187531,NA,NA,NA
1,4,mean,24H,5,2.159121953,NA,NA,NA
1,4,mean,24H,6,2.289702564,NA,NA,NA
1,4,mean,24H,7,2.357714565,NA,NA,NA
1,4,mean,24H,8,2.215675128,NA,NA,NA
1,4,mean,24H,9,1.852237888,NA,NA,NA
1,4,mean,24H,10,1.414063454,NA,NA,NA
1,4,mean,24H,11,1.725669558,NA,NA,NA
1,4,mean,24H,12,1.910011756,NA,NA,NA
1,5,variance,24H,1,8.930760451,NA,NA,NA
1,5,variance,24H,2,6.700629112,NA,NA,NA
1,5,variance,24H,3,6.979777399,NA,NA,NA
1,5,variance,24H,4,8.651559934,NA,NA,NA
1,5,variance,24H,5,18.78332092,NA,NA,NA
1,5,variance,24H,6,26.24464942,NA,NA,NA
1,5,variance,24H,7,25.92192251,NA,NA,NA
1,5,variance,24H,8,20.85644975,NA,NA,NA
1,5,variance,24H,9,17.38728166,NA,NA,NA
1,5,variance,24H,10,8.816100816,NA,NA,NA
1,5,variance,24H,11,11.29593006,NA,NA,NA
1,5,variance,24H,12,10.15691841,NA,NA,NA
1,6,skewness,24H,1,3.536609061,NA,NA,NA
1,6,skewness,24H,2,3.141161453,NA,NA,NA
1,6,skewness,24H,3,3.525565464,NA,NA,NA
1,6,skewness,24H,4,5.051762203,NA,NA,NA
1,6,skewness,24H,5,3.378868737,NA,NA,NA
1,6,skewness,24H,6,4.329404802,NA,NA,NA
1,6,skewness,24H,7,4.158807057,NA,NA,NA
1,6,skewness,24H,8,3.71355165,NA,NA,NA
1,6,skewness,24H,9,4.264861443,NA,NA,NA
1,6,skewness,24H,10,3.551317223,NA,NA,NA
1,6,skewness,24H,11,3.211079095,NA,NA,NA
1,6,skewness,24H,12,3.099232644,NA,NA,NA
1,7,probability_dry_0.2mm,24H,1,0.41527493,NA,NA,NA
1,7,probability_dry_0.2mm,24H,2,0.510908027,NA,NA,NA
1,7,probability_dry_0.2mm,24H,3,0.550618753,NA,NA,NA
1,7,probability_dry_0.2mm,24H,4,0.65044847,NA,NA,NA
1,7,probability_dry_0.2mm,24H,5,0.558422676,NA,NA,NA
1,7,probability_dry_0.2mm,24H,6,0.587681439,NA,NA,NA
1,7,probability_dry_0.2mm,24H,7,0.562657177,NA,NA,NA
1,7,probability_dry_0.2mm,24H,8,0.578067139,NA,NA,NA
1,7,probability_dry_0.2mm,24H,9,0.607522756,NA,NA,NA
1,7,probability_dry_0.2mm,24H,10,0.596964945,NA,NA,NA
1,7,probability_dry_0.2mm,24H,11,0.550019858,NA,NA,NA
1,7,probability_dry_0.2mm,24H,12,0.383299331,NA,NA,NA
1,8,autocorrelation_lag1,24H,1,0.236709274,NA,NA,NA
1,8,autocorrelation_lag1,24H,2,0.275898909,NA,NA,NA
1,8,autocorrelation_lag1,24H,3,0.267809232,NA,NA,NA
1,8,autocorrelation_lag1,24H,4,0.205335042,NA,NA,NA
1,8,autocorrelation_lag1,24H,5,0.236260345,NA,NA,NA
1,8,autocorrelation_lag1,24H,6,0.142887154,NA,NA,NA
1,8,autocorrelation_lag1,24H,7,0.143359969,NA,NA,NA
1,8,autocorrelation_lag1,24H,8,0.107349791,NA,NA,NA
1,8,autocorrelation_lag1,24H,9,0.130038743,NA,NA,NA
1,8,autocorrelation_lag1,24H,10,0.186921934,NA,NA,NA
1,8,autocorrelation_lag1,24H,11,0.285898719,NA,NA,NA
1,8,autocorrelation_lag1,24H,12,0.26716087,NA,NA,NA
1,9,cross-correlation_lag0,24H,1,0.889005409,2,26.21228706,0.591197411
1,9,cross-correlation_lag0,24H,1,0.824049067,3,43.08104103,0.696822166
1,9,cross-correlation_lag0,24H,1,0.810002982,4,46.95451725,1.210458835
1,9,cross-correlation_lag0,24H,1,0.908167849,5,21.50425849,0.462365588
1,9,cross-correlation_lag0,24H,1,0.940684886,6,13.72646058,0.785268148
1,9,cross-correlation_lag0,24H,1,0.827029704,7,42.27067713,0.707906405
1,9,cross-correlation_lag0,24H,1,0.861521813,8,33.16082709,1.046894789
1,9,cross-correlation_lag0,24H,1,0.899927455,9,23.51627224,0.809160312
1,9,cross-correlation_lag0,24H,1,0.834121427,10,40.35819741,1.200785875
1,9,cross-correlation_lag0,24H,1,0.849332459,11,36.3266383,0.833333333
1,9,cross-correlation_lag0,24H,1,0.871067814,12,30.71894923,1.071505388
1,9,cross-correlation_lag0,24H,1,0.908659781,13,21.38471721,0.791072687
1,9,cross-correlation_lag0,24H,1,0.890684896,14,25.79545886,0.603289048
1,9,cross-correlation_lag0,24H,1,0.846879963,15,36.97039694,0.966129065
1,9,cross-correlation_lag0,24H,2,0.901600303,2,26.21228706,0.451991598
1,9,cross-correlation_lag0,24H,2,0.844847502,3,43.08104103,0.530088504
1,9,cross-correlation_lag0,24H,2,0.832682137,4,46.95451725,0.909238736
1,9,cross-correlation_lag0,24H,2,0.918480611,5,21.50425849,0.367505232
1,9,cross-correlation_lag0,24H,2,0.947245089,6,13.72646058,0.594900211
1,9,cross-correlation_lag0,24H,2,0.847434257,7,42.27067713,0.585091432
1,9,cross-correlation_lag0,24H,2,0.8774942,8,33.16082709,0.819238901
1,9,cross-correlation_lag0,24H,2,0.911214683,9,23.51627224,0.59359777
1,9,cross-correlation_lag0,24H,2,0.853595991,10,40.35819741,0.953617016
1,9,cross-correlation_lag0,24H,2,0.866845402,11,36.3266383,0.641458352
1,9,cross-correlation_lag0,24H,2,0.885852409,12,30.71894923,0.796074073
1,9,cross-correlation_lag0,24H,2,0.91891469,13,21.38471721,0.573680083
