Fit_Stage,Month,Lamda,Beta,Rho,Eta,Gamma,Theta,Kappa,Converged,Objective_Function,Iterations,Function_Evaluations
final,1,0.012278311,0.041175316,0.000746839,0.514729643,0.022035089273646724,0.41866873448779485,0.700376104281954,True,11.825268500502016,23,1116
final,2,0.009286364,0.044403461,0.001114206,0.783549102,0.024263736091924348,0.8020158404076887,0.8363472730156665,True,5.380239248727909,25,1194
final,3,0.008168332,0.044516505,0.001658907,0.742886143,0.029185952461749137,0.7954238689315883,0.7733526630177883,True,8.362912805048534,19,1044
final,4,0.006746059,0.04979593,0.001376671,0.845506385,0.030777483066732777,1.3192505751643564,0.6937697172034144,True,16.485006771200222,15,792
final,5,0.008875234,0.065097271,0.016539912,2.800162333,0.07125321064678629,1.3575947555044037,0.6258724836024556,True,21.143248553478504,16,841
final,6,0.011162907,0.085124036,0.01190849,2.682808291,0.08931629268483275,2.342276393474072,0.6382841851471943,True,58.199710418509284,16,793
final,7,0.012379322,0.077383791,0.00453788,2.641063468,0.06255581984655896,2.956624433779057,0.7041308928431993,True,55.15917674522254,17,902
final,8,0.01403303,0.131551509,0.005061445,1.996950598,0.05815143467692915,1.40655462919871,0.6512790359934435,True,14.156747702813139,17,838
final,9,0.011161029,0.107605073,0.003330788,1.493160009,0.043236230306660864,1.0140165431561696,0.5969818088429126,True,25.088125834892846,23,1140
final,10,0.010373157,0.083658637,0.001600131,0.720698569,0.03199073477592858,0.7453734693532451,0.758800849325417,True,7.361864070911968,20,1057
final,11,0.008315691,0.047228929,0.002411217,0.631613949,0.03444065822287322,0.6772966542749632,0.8350158834584658,True,6.500037899176136,24,1157
final,12,0.011089598,0.027310893,0.000541551,0.50903082,0.019287563597987504,0.5771357719932941,0.8567074780921703,True,6.915050131620134,18,879
