Point_ID,Statistic_ID,Name,Duration,Month,Value,Weight,Gs,Phi,Point_ID2,Distance,Phi2
1,1,variance,1H,1,0.080073901,3,0.195064525,0.565652728,NA,NA,NA
1,1,variance,1H,2,0.064555056,3,0.195064525,0.466318727,NA,NA,NA
1,1,variance,1H,3,0.06665282,3,0.195064525,0.437760909,NA,NA,NA
1,1,variance,1H,4,0.091287546,3,0.195064525,0.387124181,NA,NA,NA
1,1,variance,1H,5,0.307144493,3,0.195064525,0.71564889,NA,NA,NA
1,1,variance,1H,6,0.465266019,3,0.195064525,0.748330037,NA,NA,NA
1,1,variance,1H,7,0.416995734,3,0.195064525,0.772888899,NA,NA,NA
1,1,variance,1H,8,0.298010677,3,0.195064525,0.728498697,NA,NA,NA
1,1,variance,1H,9,0.265916348,3,0.195064525,0.600522876,NA,NA,NA
1,1,variance,1H,10,0.093291506,3,0.195064525,0.474003792,NA,NA,NA
1,1,variance,1H,11,0.095487535,3,0.195064525,0.57373937,NA,NA,NA
1,1,variance,1H,12,0.096092664,3,0.195064525,0.639163494,NA,NA,NA
1,2,skewness,1H,1,8.622297287,3,11.55576968,0.565652728,NA,NA,NA
1,2,skewness,1H,2,8.086784363,3,11.55576968,0.466318727,NA,NA,NA
1,2,skewness,1H,3,9.709623337,3,11.55576968,0.437760909,NA,NA,NA
1,2,skewness,1H,4,12.19975471,3,11.55576968,0.387124181,NA,NA,NA
1,2,skewness,1H,5,17.02772522,3,11.55576968,0.71564889,NA,NA,NA
1,2,skewness,1H,6,15.1586628,3,11.55576968,0.748330037,NA,NA,NA
1,2,skewness,1H,7,13.3336153,3,11.55576968,0.772888899,NA,NA,NA
1,2,skewness,1H,8,12.98978806,3,11.55576968,0.728498697,NA,NA,NA
1,2,skewness,1H,9,15.82662392,3,11.55576968,0.600522876,NA,NA,NA
1,2,skewness,1H,10,9.67860508,3,11.55576968,0.474003792,NA,NA,NA
1,2,skewness,1H,11,8.529860497,3,11.55576968,0.57373937,NA,NA,NA
1,2,skewness,1H,12,7.505895615,3,11.55576968,0.639163494,NA,NA,NA
1,3,probability_dry_0.2mm,1H,1,0.896180912,5,1,0.565652728,NA,NA,NA
1,3,probability_dry_0.2mm,1H,2,0.915052549,5,1,0.466318727,NA,NA,NA
1,3,probability_dry_0.2mm,1H,3,0.924256799,5,1,0.437760909,NA,NA,NA
1,3,probability_dry_0.2mm,1H,4,0.947303922,5,1,0.387124181,NA,NA,NA
1,3,probability_dry_0.2mm,1H,5,0.926269841,5,1,0.71564889,NA,NA,NA
1,3,probability_dry_0.2mm,1H,6,0.942397255,5,1,0.748330037,NA,NA,NA
1,3,probability_dry_0.2mm,1H,7,0.937529654,5,1,0.772888899,NA,NA,NA
1,3,probability_dry_0.2mm,1H,8,0.932555741,5,1,0.728498697,NA,NA,NA
1,3,probability_dry_0.2mm,1H,9,0.941911765,5,1,0.600522876,NA,NA,NA
1,3,probability_dry_0.2mm,1H,10,0.930660974,5,1,0.474003792,NA,NA,NA
1,3,probability_dry_0.2mm,1H,11,0.910286788,5,1,0.57373937,NA,NA,NA
1,3,probability_dry_0.2mm,1H,12,0.890408793,5,1,0.639163494,NA,NA,NA
1,4,mean,24H,1,1.696958184,5,1.77741315,0.565652728,NA,NA,NA
1,4,mean,24H,2,1.39895618,5,1.77741315,0.466318727,NA,NA,NA
1,4,mean,24H,3,1.313282728,5,1.77741315,0.437760909,NA,NA,NA
1,4,mean,24H,4,1.161372542,5,1.77741315,0.387124181,NA,NA,NA
1,4,mean,24H,5,2.146946669,5,1.77741315,0.71564889,NA,NA,NA
1,4,mean,24H,6,2.24499011,5,1.77741315,0.748330037,NA,NA,NA
1,4,mean,24H,7,2.318666697,5,1.77741315,0.772888899,NA,NA,NA
1,4,mean,24H,8,2.185496092,5,1.77741315,0.728498697,NA,NA,NA
1,4,mean,24H,9,1.801568627,5,1.77741315,0.600522876,NA,NA,NA
1,4,mean,24H,10,1.422011375,5,1.77741315,0.474003792,NA,NA,NA
1,4,mean,24H,11,1.721218109,5,1.77741315,0.57373937,NA,NA,NA
1,4,mean,24H,12,1.917490482,5,1.77741315,0.639163494,NA,NA,NA
1,5,variance,24H,1,9.54642868,2,15.45278958,0.565652728,NA,NA,NA
1,5,variance,24H,2,7.392195702,2,15.45278958,0.466318727,NA,NA,NA
1,5,variance,24H,3,6.753625393,2,15.45278958,0.437760909,NA,NA,NA
