Point_ID,Easting,Northing,Name,Elevation,Other_ID,Latitude,Longitude
1,659493,5556905,Burgkunstadt,277.5,812,50.1429,11.2322
2,640130,5574573,Lautertal,343.79,867,50.3066,10.9679
3,688073,5524669,Creussen,449.5,885,49.8449,11.616
4,703430,5540344,Oberfranken,654.5,1357,49.9807,11.8376
5,638050,5555283,Itzgrund,366.5,2431,50.1337,10.9317
6,665451,5569271,Kronach,310,2750,50.2524,11.3209
7,667772,5598357,Ludwigsstadt,520.5,3080,50.5131,11.3664
8,659060,5590063,Foeritztal,738,3491,50.441,11.2401
9,682961,5555399,Ludwigschorgast,336,3497,50.1226,11.5596
10,651296,5596422,Neuhaus,845,3513,50.5002,11.1334
11,695744,5559248,Stammbach,597,4818,50.1531,11.7402
12,669764,5585856,Teuschnitz,633,5017,50.4002,11.3888
13,672106,5539636,Thurnau,513,5034,49.9842,11.4008
14,644816,5535692,Schesslitz,304.5,6195,49.956,11.0189
15,686506,5582146,BadSteben,605,6338,50.3618,11.6223
