Point_ID,Statistic_ID,Name,Duration,Month,Value,Weight,Gs,Phi
1,1,variance,1H,1,0.134216934,1,0.178404942,1
1,1,variance,1H,2,0.09195637,1,0.178404942,1
1,1,variance,1H,3,0.098061442,1,0.178404942,1
1,1,variance,1H,4,0.095179245,1,0.178404942,1
1,1,variance,1H,5,0.26056397,1,0.178404942,1
1,1,variance,1H,6,0.179410636,1,0.178404942,1
1,1,variance,1H,7,0.328392059,1,0.178404942,1
1,1,variance,1H,8,0.203001201,1,0.178404942,1
1,1,variance,1H,9,0.220172584,1,0.178404942,1
1,1,variance,1H,10,0.193956494,1,0.178404942,1
1,1,variance,1H,11,0.176451296,1,0.178404942,1
1,1,variance,1H,12,0.159497067,1,0.178404942,1
1,2,skewness,1H,1,8.315674782,2,12.51678248,1
1,2,skewness,1H,2,8.180934906,2,12.51678248,1
1,2,skewness,1H,3,9.036358833,2,12.51678248,1
1,2,skewness,1H,4,8.432927132,2,12.51678248,1
1,2,skewness,1H,5,20.73744202,2,12.51678248,1
1,2,skewness,1H,6,15.73488617,2,12.51678248,1
1,2,skewness,1H,7,26.72034073,2,12.51678248,1
1,2,skewness,1H,8,12.72959137,2,12.51678248,1
1,2,skewness,1H,9,16.06056023,2,12.51678248,1
1,2,skewness,1H,10,8.879631996,2,12.51678248,1
1,2,skewness,1H,11,8.03826046,2,12.51678248,1
1,2,skewness,1H,12,7.33478117,2,12.51678248,1
1,3,probability_dry_0.2mm,1H,1,0.886580592,7,1,1
1,3,probability_dry_0.2mm,1H,2,0.899378603,7,1,1
1,3,probability_dry_0.2mm,1H,3,0.903131382,7,1,1
1,3,probability_dry_0.2mm,1H,4,0.910774469,7,1,1
1,3,probability_dry_0.2mm,1H,5,0.915302659,7,1,1
1,3,probability_dry_0.2mm,1H,6,0.924937273,7,1,1
1,3,probability_dry_0.2mm,1H,7,0.932218845,7,1,1
1,3,probability_dry_0.2mm,1H,8,0.923984317,7,1,1
1,3,probability_dry_0.2mm,1H,9,0.920756291,7,1,1
1,3,probability_dry_0.2mm,1H,10,0.89574381,7,1,1
1,3,probability_dry_0.2mm,1H,11,0.879204466,7,1,1
1,3,probability_dry_0.2mm,1H,12,0.88509054,7,1,1
1,4,mean,24H,1,2.044519424,6,1.869020333,1
1,4,mean,24H,2,1.62636447,6,1.869020333,1
1,4,mean,24H,3,1.593454838,6,1.869020333,1
1,4,mean,24H,4,1.556867719,6,1.869020333,1
1,4,mean,24H,5,1.933737874,6,1.869020333,1
1,4,mean,24H,6,1.619446754,6,1.869020333,1
1,4,mean,24H,7,1.679656863,6,1.869020333,1
1,4,mean,24H,8,1.779363751,6,1.869020333,1
1,4,mean,24H,9,1.81421411,6,1.869020333,1
1,4,mean,24H,10,2.223007441,6,1.869020333,1
1,4,mean,24H,11,2.306497812,6,1.869020333,1
1,4,mean,24H,12,2.251112938,6,1.869020333,1
1,5,variance,24H,1,13.20313072,2,16.8969179,1
1,5,variance,24H,2,10.01594353,2,16.8969179,1
1,5,variance,24H,3,10.65744495,2,16.8969179,1
1,5,variance,24H,4,10.90629387,2,16.8969179,1
1,5,variance,24H,5,21.41548538,2,16.8969179,1
1,5,variance,24H,6,14.37408447,2,16.8969179,1
1,5,variance,24H,7,30.32987976,2,16.8969179,1
1,5,variance,24H,8,17.00949287,2,16.8969179,1
1,5,variance,24H,9,19.26615715,2,16.8969179,1
1,5,variance,24H,10,21.35259628,2,16.8969179,1
1,5,variance,24H,11,17.43239784,2,16.8969179,1
1,5,variance,24H,12,16.80010796,2,16.8969179,1
1,6,skewness,24H,1,2.775183678,3,4.368538141,1
1,6,skewness,24H,2,3.01741147,3,4.368538141,1
1,6,skewness,24H,3,3.804477453,3,4.368538141,1
1,6,skewness,24H,4,3.669192553,3,4.368538141,1
1,6,skewness,24H,5,5.093440056,3,4.368538141,1
1,6,skewness,24H,6,4.195701599,3,4.368538141,1
1,6,skewness,24H,7,11.85974407,3,4.368538141,1
1,6,skewness,24H,8,3.944176197,3,4.368538141,1
1,6,skewness,24H,9,4.236702919,3,4.368538141,1
1,6,skewness,24H,10,4.088930607,3,4.368538141,1
1,6,skewness,24H,11,2.993742228,3,4.368538141,1
1,6,skewness,24H,12,2.743754864,3,4.368538141,1
1,7,probability_dry_0.2mm,24H,1,0.406408094,7,1,1
1,7,probability_dry_0.2mm,24H,2,0.4773358,7,1,1
1,7,probability_dry_0.2mm,24H,3,0.503728252,7,1,1
1,7,probability_dry_0.2mm,24H,4,0.543551089,7,1,1
1,7,probability_dry_0.2mm,24H,5,0.556634304,7,1,1
1,7,probability_dry_0.2mm,24H,6,0.575020956,7,1,1
1,7,probability_dry_0.2mm,24H,7,0.611928105,7,1,1
1,7,probability_dry_0.2mm,24H,8,0.539967374,7,1,1
1,7,probability_dry_0.2mm,24H,9,0.551839465,7,1,1
1,7,probability_dry_0.2mm,24H,10,0.448644207,7,1,1
1,7,probability_dry_0.2mm,24H,11,0.387341772,7,1,1
1,7,probability_dry_0.2mm,24H,12,0.415498763,7,1,1
1,8,autocorrelation_lag1,24H,1,0.205911387,6,1,1
1,8,autocorrelation_lag1,24H,2,0.22255155,6,1,1
1,8,autocorrelation_lag1,24H,3,0.180875459,6,1,1
1,8,autocorrelation_lag1,24H,4,0.196256261,6,1,1
1,8,autocorrelation_lag1,24H,5,0.156923327,6,1,1
1,8,autocorrelation_lag1,24H,6,0.09742393,6,1,1
1,8,autocorrelation_lag1,24H,7,0.091586767,6,1,1
1,8,autocorrelation_lag1,24H,8,0.097879167,6,1,1
1,8,autocorrelation_lag1,24H,9,0.170515282,6,1,1
1,8,autocorrelation_lag1,24H,10,0.177534552,6,1,1
1,8,autocorrelation_lag1,24H,11,0.141509559,6,1,1
1,8,autocorrelation_lag1,24H,12,0.217669615,6,1,1
