datetime,prcp,temp_mean,temp_min,temp_max,temp_avg,rel_hum,vap_press,sun_dur,wind_speed
2011-02-01,0.00,NA,NA,NA,NA,NA,NA,NA,NA
2011-02-02,0.00,5.75,-1.90,9.30,3.70,94.66,0.88,NA,NA
2011-02-03,0.20,4.91,-0.80,9.40,4.30,87.90,0.76,NA,NA
2011-02-04,0.00,10.49,10.10,11.10,10.60,83.24,1.06,NA,NA
2011-02-05,0.00,11.44,10.70,12.30,11.50,82.73,1.12,NA,NA
2011-02-06,0.00,10.69,9.30,11.70,10.50,81.16,1.04,NA,NA
2011-02-07,0.00,7.27,-1.70,11.30,4.80,79.13,0.82,NA,NA
2011-02-08,0.00,1.74,-4.50,8.50,2.00,85.57,0.59,NA,NA
2011-02-09,0.00,7.58,5.50,9.10,7.30,90.13,0.94,NA,NA
2011-02-10,3.20,9.27,8.60,10.10,9.35,96.40,1.13,NA,NA
2011-02-11,0.00,9.30,4.90,13.10,9.00,93.89,1.10,NA,NA
2011-02-12,0.20,6.87,0.50,11.10,5.80,85.58,0.85,NA,NA
2011-02-13,10.40,6.50,4.50,7.70,6.10,95.35,0.92,NA,NA
2011-02-14,0.00,3.84,-1.70,7.80,3.05,86.44,0.69,NA,NA
2011-02-15,2.00,4.48,0.90,6.40,3.65,95.23,0.80,NA,NA
2011-02-16,0.00,2.90,-2.20,8.60,3.20,93.40,0.71,NA,NA
2011-02-17,0.00,4.32,1.20,6.90,4.05,95.23,0.79,NA,NA
2011-02-18,0.00,4.16,2.50,6.90,4.70,92.35,0.76,NA,NA
2011-02-19,8.80,3.96,1.90,5.30,3.60,98.40,0.80,NA,NA
2011-02-20,0.00,3.85,3.30,4.50,3.90,95.66,0.77,NA,NA
2011-02-21,2.20,3.70,2.90,4.50,3.70,98.70,0.79,NA,NA
2011-02-22,0.20,5.49,3.80,7.50,5.65,96.79,0.87,NA,NA
2011-02-23,2.80,8.56,6.30,11.40,8.85,96.76,1.08,NA,NA
2011-02-24,0.00,8.46,3.90,13.10,8.50,90.25,1.00,NA,NA
2011-02-25,2.80,10.50,8.90,12.50,10.70,93.23,1.18,NA,NA
2011-02-26,8.40,7.03,3.40,9.50,6.45,89.99,0.91,NA,NA
2011-02-27,4.40,4.18,1.50,6.70,4.10,91.24,0.75,NA,NA
2011-02-28,1.40,3.32,2.20,4.20,3.20,91.91,0.71,NA,NA
2011-03-01,0.00,3.28,2.30,4.60,3.45,86.15,0.66,NA,NA
2011-03-02,0.00,2.55,0.40,5.30,2.85,84.87,0.62,NA,NA
2011-03-03,0.00,1.30,-0.10,3.00,1.45,89.28,0.60,NA,NA
2011-03-04,0.00,1.35,-3.70,6.10,1.20,83.88,0.56,NA,NA
2011-03-05,0.00,2.05,-4.50,6.70,1.10,91.30,0.66,NA,NA
2011-03-06,0.00,1.65,-4.40,6.00,0.80,82.52,0.57,NA,NA
2011-03-07,0.00,1.20,-5.00,8.40,1.70,80.50,0.53,NA,NA
2011-03-08,0.00,1.67,-7.20,8.70,0.75,78.62,0.55,NA,NA
2011-03-09,0.40,6.58,4.30,9.30,6.80,76.19,0.73,NA,NA
2011-03-10,0.00,9.13,4.80,12.00,8.40,72.35,0.84,NA,NA
2011-03-11,0.00,6.00,-2.40,10.00,3.80,80.08,0.75,NA,NA
2011-03-12,0.00,8.87,4.80,13.40,9.10,78.08,0.87,NA,NA
2011-03-13,0.40,5.64,-2.90,10.00,3.55,86.10,0.80,NA,NA
2011-03-14,0.00,3.35,-5.40,10.60,2.60,76.68,0.59,NA,NA
2011-03-15,0.00,8.65,6.00,12.70,9.35,91.79,1.03,NA,NA
2011-03-16,0.00,6.51,3.30,8.60,5.95,96.25,0.93,NA,NA
2011-03-17,0.00,6.40,2.80,11.60,7.20,86.43,0.82,NA,NA
2011-03-18,0.20,3.76,-3.70,7.80,2.05,83.25,0.67,NA,NA
2011-03-19,0.00,2.79,-5.90,12.10,3.10,72.44,0.51,NA,NA
2011-03-20,0.00,8.08,1.90,13.60,7.75,71.88,0.78,NA,NA
2011-03-21,0.00,10.57,6.90,13.80,10.35,80.88,1.02,NA,NA
2011-03-22,0.00,10.23,7.10,14.30,10.70,83.07,1.02,NA,NA
