datetime,prcp,temp_mean,temp_min,temp_max,temp_avg,rel_hum,vap_press,sun_dur,wind_speed
1974-10-01,NA,NA,NA,NA,NA,NA,NA,NA,1.60
1974-10-02,NA,NA,NA,NA,NA,NA,NA,5.40,2.98
1974-10-03,NA,NA,NA,NA,NA,NA,NA,0.90,4.71
1974-10-04,NA,NA,NA,NA,NA,NA,NA,6.40,3.90
1974-10-05,NA,NA,NA,NA,NA,NA,NA,0.00,2.88
1974-10-06,NA,NA,NA,NA,NA,NA,NA,1.50,3.99
1974-10-07,NA,NA,NA,NA,NA,NA,NA,0.00,4.43
1974-10-08,NA,NA,NA,NA,NA,NA,NA,0.00,4.32
1974-10-09,NA,NA,NA,NA,NA,NA,NA,5.70,2.44
1974-10-10,NA,NA,NA,NA,NA,NA,NA,3.30,1.77
1974-10-11,NA,NA,NA,NA,NA,NA,NA,2.90,2.74
1974-10-12,NA,NA,NA,NA,NA,NA,NA,0.00,1.54
1974-10-13,NA,NA,NA,NA,NA,NA,NA,7.00,1.25
1974-10-14,NA,NA,NA,NA,NA,NA,NA,4.60,1.02
1974-10-15,NA,NA,NA,NA,NA,NA,NA,8.60,0.83
1974-10-16,NA,NA,NA,NA,NA,NA,NA,0.00,1.24
1974-10-17,NA,NA,NA,NA,NA,NA,NA,0.00,0.94
1974-10-18,NA,NA,NA,NA,NA,NA,NA,0.00,5.15
1974-10-19,NA,NA,NA,NA,NA,NA,NA,0.00,3.11
1974-10-20,NA,NA,NA,NA,NA,NA,NA,5.80,4.31
1974-10-21,NA,NA,NA,NA,NA,NA,NA,4.60,3.70
1974-10-22,NA,NA,NA,NA,NA,NA,NA,8.10,5.70
1974-10-23,NA,NA,NA,NA,NA,NA,NA,2.40,5.27
1974-10-24,NA,NA,NA,NA,NA,NA,NA,0.00,2.33
1974-10-25,NA,NA,NA,NA,NA,NA,NA,2.40,3.68
1974-10-26,NA,NA,NA,NA,NA,NA,NA,0.30,3.40
1974-10-27,NA,NA,NA,NA,NA,NA,NA,0.00,6.32
1974-10-28,NA,NA,NA,NA,NA,NA,NA,2.60,6.91
1974-10-29,NA,NA,NA,NA,NA,NA,NA,3.90,6.97
1974-10-30,NA,NA,NA,NA,NA,NA,NA,2.40,3.43
1974-10-31,NA,NA,NA,NA,NA,NA,NA,1.30,1.25
1974-11-01,NA,NA,NA,NA,NA,NA,NA,4.40,2.32
1974-11-02,NA,NA,NA,NA,NA,NA,NA,0.80,3.20
1974-11-03,NA,NA,NA,NA,NA,NA,NA,0.00,3.96
1974-11-04,NA,NA,NA,NA,NA,NA,NA,3.00,3.89
1974-11-05,NA,NA,NA,NA,NA,NA,NA,2.50,1.40
1974-11-06,NA,NA,NA,NA,NA,NA,NA,1.70,4.55
1974-11-07,NA,NA,NA,NA,NA,NA,NA,0.20,5.45
1974-11-08,NA,NA,NA,NA,NA,NA,NA,0.00,4.45
1974-11-09,NA,NA,NA,NA,NA,NA,NA,0.00,5.95
1974-11-10,NA,NA,NA,NA,NA,NA,NA,0.00,6.13
1974-11-11,NA,NA,NA,NA,NA,NA,NA,3.90,6.61
1974-11-12,NA,NA,NA,NA,NA,NA,NA,0.10,4.87
1974-11-13,NA,NA,NA,NA,NA,NA,NA,4.20,9.48
1974-11-14,NA,NA,NA,NA,NA,NA,NA,0.00,9.08
1974-11-15,NA,NA,NA,NA,NA,NA,NA,2.60,2.92
1974-11-16,NA,NA,NA,NA,NA,NA,NA,5.40,2.55
1974-11-17,NA,NA,NA,NA,NA,NA,NA,4.50,2.51
1974-11-18,NA,NA,NA,NA,NA,NA,NA,0.90,4.03
1974-11-19,NA,NA,NA,NA,NA,NA,NA,0.00,1.90
1974-11-20,NA,NA,NA,NA,NA,NA,NA,4.50,3.26
1974-11-21,NA,NA,NA,NA,NA,NA,NA,0.00,3.38
1974-11-22,NA,NA,NA,NA,NA,NA,NA,0.00,4.16
1974-11-23,NA,NA,NA,NA,NA,NA,NA,0.00,5.90
1974-11-24,NA,NA,NA,NA,NA,NA,NA,0.00,6.67
1974-11-25,NA,NA,NA,NA,NA,NA,NA,0.00,6.64
1974-11-26,NA,NA,NA,NA,NA,NA,NA,6.30,3.01
1974-11-27,NA,NA,NA,NA,NA,NA,NA,0.80,6.02
1974-11-28,NA,NA,NA,NA,NA,NA,NA,1.60,7.39
1974-11-29,NA,NA,NA,NA,NA,NA,NA,0.10,3.80
1974-11-30,NA,NA,NA,NA,NA,NA,NA,0.90,4.42
1974-12-01,NA,NA,NA,NA,NA,NA,NA,2.40,4.89
1974-12-02,NA,NA,NA,NA,NA,NA,NA,0.00,5.88
1974-12-03,NA,NA,NA,NA,NA,NA,NA,0.50,4.57
1974-12-04,NA,NA,NA,NA,NA,NA,NA,0.30,6.19
1974-12-05,NA,NA,NA,NA,NA,NA,NA,3.40,5.05
1974-12-06,NA,NA,NA,NA,NA,NA,NA,0.30,4.22
1974-12-07,NA,NA,NA,NA,NA,NA,NA,0.70,4.19
1974-12-08,NA,NA,NA,NA,NA,NA,NA,0.00,5.15
1974-12-09,NA,NA,NA,NA,NA,NA,NA,0.00,5.17
1974-12-10,NA,NA,NA,NA,NA,NA,NA,1.80,6.40
1974-12-11,NA,NA,NA,NA,NA,NA,NA,1.30,6.33
1974-12-12,NA,NA,NA,NA,NA,NA,NA,4.80,6.03
1974-12-13,NA,NA,NA,NA,NA,NA,NA,0.00,4.15
1974-12-14,NA,NA,NA,NA,NA,NA,NA,2.30,4.20
1974-12-15,NA,NA,NA,NA,NA,NA,NA,1.80,3.22
1974-12-16,NA,NA,NA,NA,NA,NA,NA,5.00,6.45
1974-12-17,NA,NA,NA,NA,NA,NA,NA,0.00,8.10
1974-12-18,NA,NA,NA,NA,NA,NA,NA,5.20,5.34
1974-12-19,NA,NA,NA,NA,NA,NA,NA,0.20,5.43
1974-12-20,NA,NA,NA,NA,NA,NA,NA,0.00,7.77
1974-12-21,NA,NA,NA,NA,NA,NA,NA,0.60,8.79
1974-12-22,NA,NA,NA,NA,NA,NA,NA,0.00,7.15
1974-12-23,NA,NA,NA,NA,NA,NA,NA,2.80,7.87
1974-12-24,NA,NA,NA,NA,NA,NA,NA,2.10,4.47
1974-12-25,NA,NA,NA,NA,NA,NA,NA,3.40,7.71
1974-12-26,NA,NA,NA,NA,NA,NA,NA,0.30,9.28
1974-12-27,NA,NA,NA,NA,NA,NA,NA,3.10,7.38
1974-12-28,NA,NA,NA,NA,NA,NA,NA,1.20,9.26
1974-12-29,NA,NA,NA,NA,NA,NA,NA,2.40,7.06
1974-12-30,NA,NA,NA,NA,NA,NA,NA,5.20,3.02
1974-12-31,NA,NA,NA,NA,NA,NA,NA,3.90,4.72
1975-01-01,NA,NA,NA,NA,NA,NA,NA,0.20,4.04
1975-01-02,NA,NA,NA,NA,NA,NA,NA,0.10,1.51
1975-01-03,NA,NA,NA,NA,NA,NA,NA,0.00,2.64
1975-01-04,NA,NA,NA,NA,NA,NA,NA,0.10,1.83
1975-01-05,NA,NA,NA,NA,NA,NA,NA,3.60,4.27
1975-01-06,NA,NA,NA,NA,NA,NA,NA,0.00,7.58
1975-01-07,NA,NA,NA,NA,NA,NA,NA,0.00,3.49
1975-01-08,NA,NA,NA,NA,NA,NA,NA,0.30,1.97
1975-01-09,NA,NA,NA,NA,NA,NA,NA,0.00,3.72
1975-01-10,NA,NA,NA,NA,NA,NA,NA,0.00,4.43
1975-01-11,NA,NA,NA,NA,NA,NA,NA,0.00,6.88
1975-01-12,NA,NA,NA,NA,NA,NA,NA,1.00,8.04
1975-01-13,NA,NA,NA,NA,NA,NA,NA,0.50,7.25
1975-01-14,NA,NA,NA,NA,NA,NA,NA,0.30,8.80
1975-01-15,NA,NA,NA,NA,NA,NA,NA,0.10,8.68
1975-01-16,NA,NA,NA,NA,NA,NA,NA,3.00,3.69
1975-01-17,NA,NA,NA,NA,NA,NA,NA,2.50,4.61
1975-01-18,NA,NA,NA,NA,NA,NA,NA,3.20,4.17
1975-01-19,NA,NA,NA,NA,NA,NA,NA,0.00,5.19
1975-01-20,NA,NA,NA,NA,NA,NA,NA,6.20,5.76
1975-01-21,NA,NA,NA,NA,NA,NA,NA,0.00,6.58
1975-01-22,NA,NA,NA,NA,NA,NA,NA,6.80,8.79
1975-01-23,NA,NA,NA,NA,NA,NA,NA,0.30,7.67
1975-01-24,NA,NA,NA,NA,NA,NA,NA,2.20,4.82
1975-01-25,NA,NA,NA,NA,NA,NA,NA,2.40,8.77
1975-01-26,NA,NA,NA,NA,NA,NA,NA,4.00,6.05
1975-01-27,NA,NA,NA,NA,NA,NA,NA,3.70,6.56
1975-01-28,NA,NA,NA,NA,NA,NA,NA,0.20,5.86
1975-01-29,NA,NA,NA,NA,NA,NA,NA,0.00,3.37
1975-01-30,NA,NA,NA,NA,NA,NA,NA,0.00,6.35
1975-01-31,NA,NA,NA,NA,NA,NA,NA,0.60,6.88
1975-02-01,NA,NA,NA,NA,NA,NA,NA,2.40,2.57
1975-02-02,NA,NA,NA,NA,NA,NA,NA,0.50,0.67
1975-02-03,NA,NA,NA,NA,NA,NA,NA,0.00,3.64
1975-02-04,NA,NA,NA,NA,NA,NA,NA,0.10,5.43
1975-02-05,NA,NA,NA,NA,NA,NA,NA,0.00,5.03
1975-02-06,NA,NA,NA,NA,NA,NA,NA,2.60,3.67
1975-02-07,NA,NA,NA,NA,NA,NA,NA,2.80,4.10
1975-02-08,NA,NA,NA,NA,NA,NA,NA,4.30,2.75
1975-02-09,NA,NA,NA,NA,NA,NA,NA,4.50,2.96
1975-02-10,NA,NA,NA,NA,NA,NA,NA,5.30,2.40
1975-02-11,NA,NA,NA,NA,NA,NA,NA,0.00,2.90
1975-02-12,NA,NA,NA,NA,NA,NA,NA,0.00,1.02
1975-02-13,NA,NA,NA,NA,NA,NA,NA,0.00,4.78
1975-02-14,NA,NA,NA,NA,NA,NA,NA,3.60,2.77
1975-02-15,NA,NA,NA,NA,NA,NA,NA,0.60,4.84
1975-02-16,NA,NA,NA,NA,NA,NA,NA,0.00,5.95
1975-02-17,NA,NA,NA,NA,NA,NA,NA,0.00,6.06
1975-02-18,NA,NA,NA,NA,NA,NA,NA,0.00,2.70
1975-02-19,NA,NA,NA,NA,NA,NA,NA,0.00,2.93
1975-02-20,NA,NA,NA,NA,NA,NA,NA,8.40,4.50
1975-02-21,NA,NA,NA,NA,NA,NA,NA,2.10,2.73
1975-02-22,NA,NA,NA,NA,NA,NA,NA,5.50,2.40
1975-02-23,NA,NA,NA,NA,NA,NA,NA,7.60,0.64
1975-02-24,NA,NA,NA,NA,NA,NA,NA,0.40,1.42
1975-02-25,NA,NA,NA,NA,NA,NA,NA,5.10,4.39
1975-02-26,NA,NA,NA,NA,NA,NA,NA,0.80,3.60
1975-02-27,NA,NA,NA,NA,NA,NA,NA,6.50,1.92
1975-02-28,NA,NA,NA,NA,NA,NA,NA,7.70,2.45
1975-03-01,NA,NA,NA,NA,NA,NA,NA,7.50,4.81
1975-03-02,NA,NA,NA,NA,NA,NA,NA,2.00,5.85
1975-03-03,NA,NA,NA,NA,NA,NA,NA,1.30,6.00
1975-03-04,NA,NA,NA,NA,NA,NA,NA,1.00,5.25
1975-03-05,NA,NA,NA,NA,NA,NA,NA,5.00,3.23
1975-03-06,NA,NA,NA,NA,NA,NA,NA,0.00,5.11
1975-03-07,NA,NA,NA,NA,NA,NA,NA,0.20,4.41
1975-03-08,NA,NA,NA,NA,NA,NA,NA,2.80,4.78
1975-03-09,NA,NA,NA,NA,NA,NA,NA,0.50,5.12
1975-03-10,NA,NA,NA,NA,NA,NA,NA,0.00,2.78
1975-03-11,NA,NA,NA,NA,NA,NA,NA,0.00,3.22
1975-03-12,NA,NA,NA,NA,NA,NA,NA,0.00,5.61
1975-03-13,NA,NA,NA,NA,NA,NA,NA,0.00,4.42
1975-03-14,NA,NA,NA,NA,NA,NA,NA,0.00,5.42
1975-03-15,NA,NA,NA,NA,NA,NA,NA,0.10,4.69
1975-03-16,NA,NA,NA,NA,NA,NA,NA,0.50,3.39
1975-03-17,NA,NA,NA,NA,NA,NA,NA,5.80,3.37
1975-03-18,NA,NA,NA,NA,NA,NA,NA,7.20,4.87
1975-03-19,NA,NA,NA,NA,NA,NA,NA,9.30,7.78
1975-03-20,NA,NA,NA,NA,NA,NA,NA,0.60,8.72
1975-03-21,NA,NA,NA,NA,NA,NA,NA,0.00,3.19
1975-03-22,NA,NA,NA,NA,NA,NA,NA,0.00,5.16
1975-03-23,NA,NA,NA,NA,NA,NA,NA,2.80,4.16
1975-03-24,NA,NA,NA,NA,NA,NA,NA,5.50,6.38
1975-03-25,NA,NA,NA,NA,NA,NA,NA,5.30,3.87
1975-03-26,NA,NA,NA,NA,NA,NA,NA,0.90,2.91
1975-03-27,NA,NA,NA,NA,NA,NA,NA,0.00,3.46
1975-03-28,NA,NA,NA,NA,NA,NA,NA,0.60,4.06
1975-03-29,NA,NA,NA,NA,NA,NA,NA,8.00,3.18
1975-03-30,NA,NA,NA,NA,NA,NA,NA,3.80,4.61
1975-03-31,NA,NA,NA,NA,NA,NA,NA,6.20,2.16
1975-04-01,NA,NA,NA,NA,NA,NA,NA,4.10,2.50
1975-04-02,NA,NA,NA,NA,NA,NA,NA,1.70,4.96
1975-04-03,NA,NA,NA,NA,NA,NA,NA,2.10,5.61
1975-04-04,NA,NA,NA,NA,NA,NA,NA,4.10,5.12
1975-04-05,NA,NA,NA,NA,NA,NA,NA,3.70,1.62
1975-04-06,NA,NA,NA,NA,NA,NA,NA,3.30,1.43
1975-04-07,NA,NA,NA,NA,NA,NA,NA,3.90,5.66
1975-04-08,NA,NA,NA,NA,NA,NA,NA,3.10,5.55
1975-04-09,NA,NA,NA,NA,NA,NA,NA,7.80,4.17
1975-04-10,NA,NA,NA,NA,NA,NA,NA,9.40,2.98
1975-04-11,NA,NA,NA,NA,NA,NA,NA,4.90,3.11
1975-04-12,NA,NA,NA,NA,NA,NA,NA,2.30,3.03
1975-04-13,NA,NA,NA,NA,NA,NA,NA,2.10,2.53
1975-04-14,NA,NA,NA,NA,NA,NA,NA,0.30,5.50
1975-04-15,NA,NA,NA,NA,NA,NA,NA,4.40,3.31
1975-04-16,NA,NA,NA,NA,NA,NA,NA,1.00,3.22
1975-04-17,NA,NA,NA,NA,NA,NA,NA,4.90,5.31
1975-04-18,NA,NA,NA,NA,NA,NA,NA,0.00,3.51
1975-04-19,NA,NA,NA,NA,NA,NA,NA,5.80,5.00
