datetime,prcp,temp_mean,temp_min,temp_max,temp_avg,rel_hum,vap_press,sun_dur,wind_speed
1981-12-01,NA,NA,NA,NA,NA,NA,NA,NA,2.14
1981-12-02,NA,NA,NA,NA,NA,NA,NA,NA,1.49
1981-12-03,NA,NA,NA,NA,NA,NA,NA,NA,1.92
1981-12-04,NA,NA,NA,NA,NA,NA,NA,NA,3.43
1981-12-05,NA,NA,NA,NA,NA,NA,NA,NA,2.02
1981-12-06,NA,NA,NA,NA,NA,NA,NA,NA,2.69
1981-12-07,NA,NA,NA,NA,NA,NA,NA,NA,1.82
1981-12-08,NA,NA,NA,NA,NA,NA,NA,NA,2.19
1981-12-09,NA,NA,NA,NA,NA,NA,NA,NA,1.07
1981-12-10,NA,NA,NA,NA,NA,NA,NA,NA,1.00
1981-12-11,NA,NA,NA,NA,NA,NA,NA,NA,2.36
1981-12-12,NA,NA,NA,NA,NA,NA,NA,NA,1.60
1981-12-13,NA,NA,NA,NA,NA,NA,NA,NA,4.15
1981-12-14,NA,NA,NA,NA,NA,NA,NA,NA,5.59
1981-12-15,NA,NA,NA,NA,NA,NA,NA,NA,3.02
1981-12-16,NA,NA,NA,NA,NA,NA,NA,NA,2.52
1981-12-17,NA,NA,NA,NA,NA,NA,NA,NA,3.20
1981-12-18,NA,NA,NA,NA,NA,NA,NA,NA,5.12
1981-12-19,NA,NA,NA,NA,NA,NA,NA,NA,2.87
1981-12-20,NA,NA,NA,NA,NA,NA,NA,NA,6.25
1981-12-21,NA,NA,NA,NA,NA,NA,NA,NA,2.90
1981-12-22,NA,NA,NA,NA,NA,NA,NA,NA,3.07
1981-12-23,NA,NA,NA,NA,NA,NA,NA,NA,2.08
1981-12-24,NA,NA,NA,NA,NA,NA,NA,NA,3.39
1981-12-25,NA,NA,NA,NA,NA,NA,NA,NA,1.20
1981-12-26,NA,NA,NA,NA,NA,NA,NA,NA,2.60
1981-12-27,NA,NA,NA,NA,NA,NA,NA,NA,2.78
1981-12-28,NA,NA,NA,NA,NA,NA,NA,NA,2.68
1981-12-29,NA,NA,NA,NA,NA,NA,NA,NA,2.08
1981-12-30,NA,NA,NA,NA,NA,NA,NA,NA,4.75
1981-12-31,NA,NA,NA,NA,NA,NA,NA,NA,1.35
1982-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-11,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-18,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-19,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-20,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-23,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-24,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-25,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-26,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-27,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-28,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-30,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-02-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-02-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-02-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-02-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-02-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-02-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-02-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-02-13,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-02-14,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-02-20,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-02-21,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-02-27,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
