datetime,prcp,temp_mean,temp_min,temp_max,temp_avg,rel_hum,vap_press,sun_dur,wind_speed
1992-10-01,NA,NA,NA,NA,NA,NA,NA,NA,0.61
1992-10-02,NA,NA,NA,NA,NA,NA,NA,NA,1.72
1992-10-03,NA,NA,NA,NA,NA,NA,NA,NA,1.32
1992-10-04,NA,NA,NA,NA,NA,NA,NA,NA,4.75
1992-10-05,NA,NA,NA,NA,NA,NA,NA,NA,5.82
1992-10-06,NA,NA,NA,NA,NA,NA,NA,NA,5.86
1992-10-07,NA,NA,NA,NA,NA,NA,NA,NA,4.51
1992-10-08,NA,NA,NA,NA,NA,NA,NA,NA,2.20
1992-10-09,NA,NA,NA,NA,NA,NA,NA,NA,4.19
1992-10-10,NA,NA,NA,NA,NA,NA,NA,NA,4.83
1992-10-11,NA,NA,NA,NA,NA,NA,NA,NA,3.58
1992-10-12,NA,NA,NA,NA,NA,NA,NA,NA,3.06
1992-10-13,NA,NA,NA,NA,NA,NA,NA,NA,1.68
1992-10-14,NA,NA,NA,NA,NA,NA,NA,NA,4.44
1992-10-15,NA,NA,NA,NA,NA,NA,NA,NA,4.96
1992-10-16,NA,NA,NA,NA,NA,NA,NA,NA,2.79
1992-10-17,NA,NA,NA,NA,NA,NA,NA,NA,2.80
1992-10-18,NA,NA,NA,NA,NA,NA,NA,NA,2.04
1992-10-19,NA,NA,NA,NA,NA,NA,NA,NA,1.09
1992-10-20,NA,NA,NA,NA,NA,NA,NA,NA,2.45
1992-10-21,NA,NA,NA,NA,NA,NA,NA,NA,3.48
1992-10-22,NA,NA,NA,NA,NA,NA,NA,NA,1.53
1992-10-23,NA,NA,NA,NA,NA,NA,NA,NA,5.02
1992-10-24,NA,NA,NA,NA,NA,NA,NA,NA,4.85
1992-10-25,NA,NA,NA,NA,NA,NA,NA,NA,6.57
1992-10-26,NA,NA,NA,NA,NA,NA,NA,NA,1.70
1992-10-27,NA,NA,NA,NA,NA,NA,NA,NA,3.47
1992-10-28,NA,NA,NA,NA,NA,NA,NA,NA,3.69
1992-10-29,NA,NA,NA,NA,NA,NA,NA,NA,3.34
1992-10-30,NA,NA,NA,NA,NA,NA,NA,NA,1.23
1992-10-31,NA,NA,NA,NA,NA,NA,NA,NA,2.40
1992-11-01,NA,NA,NA,NA,NA,NA,NA,NA,4.29
1992-11-02,NA,NA,NA,NA,NA,NA,NA,NA,8.39
1992-11-03,NA,NA,NA,NA,NA,NA,NA,NA,3.53
1992-11-04,NA,NA,NA,NA,NA,NA,NA,NA,3.24
1992-11-05,NA,NA,NA,NA,NA,NA,NA,NA,2.83
1992-11-06,NA,NA,NA,NA,NA,NA,NA,NA,1.82
1992-11-07,NA,NA,NA,NA,NA,NA,NA,NA,1.78
1992-11-08,NA,NA,NA,NA,NA,NA,NA,NA,0.05
1992-11-09,NA,NA,NA,NA,NA,NA,NA,NA,3.86
1992-11-10,NA,NA,NA,NA,NA,NA,NA,NA,2.62
1992-11-11,NA,NA,NA,NA,NA,NA,NA,NA,6.56
1992-11-12,NA,NA,NA,NA,NA,NA,NA,NA,6.38
1992-11-13,NA,NA,NA,NA,NA,NA,NA,NA,3.07
1992-11-14,NA,NA,NA,NA,NA,NA,NA,NA,3.20
1992-11-15,NA,NA,NA,NA,NA,NA,NA,NA,1.27
1992-11-16,NA,NA,NA,NA,NA,NA,NA,NA,2.94
1992-11-17,NA,NA,NA,NA,NA,NA,NA,NA,5.05
1992-11-18,NA,NA,NA,NA,NA,NA,NA,NA,4.76
1992-11-19,NA,NA,NA,NA,NA,NA,NA,NA,6.06
1992-11-20,NA,NA,NA,NA,NA,NA,NA,NA,2.64
