datetime,prcp,temp_mean,temp_min,temp_max,temp_avg,rel_hum,vap_press,sun_dur,wind_speed
1970-01-01,NA,NA,NA,NA,NA,NA,NA,NA,3.75
1970-01-02,NA,NA,NA,NA,NA,NA,NA,NA,3.79
1970-01-03,NA,NA,NA,NA,NA,NA,NA,NA,1.33
1970-01-04,NA,NA,NA,NA,NA,NA,NA,NA,1.21
1970-01-05,NA,NA,NA,NA,NA,NA,NA,NA,2.30
1970-01-06,NA,NA,NA,NA,NA,NA,NA,NA,4.20
1970-01-07,NA,NA,NA,NA,NA,NA,NA,NA,2.29
1970-01-08,NA,NA,NA,NA,NA,NA,NA,NA,6.50
1970-01-09,NA,NA,NA,NA,NA,NA,NA,NA,4.91
1970-01-10,NA,NA,NA,NA,NA,NA,NA,NA,3.09
1970-01-11,NA,NA,NA,NA,NA,NA,NA,NA,3.75
1970-01-12,NA,NA,NA,NA,NA,NA,NA,NA,5.20
1970-01-13,NA,NA,NA,NA,NA,NA,NA,NA,3.51
1970-01-14,NA,NA,NA,NA,NA,NA,NA,NA,5.23
1970-01-15,NA,NA,NA,NA,NA,NA,NA,NA,1.95
1970-01-16,NA,NA,NA,NA,NA,NA,NA,NA,3.02
1970-01-17,NA,NA,NA,NA,NA,NA,NA,NA,3.69
1970-01-18,NA,NA,NA,NA,NA,NA,NA,NA,4.16
1970-01-19,NA,NA,NA,NA,NA,NA,NA,NA,4.35
1970-01-20,NA,NA,NA,NA,NA,NA,NA,NA,2.46
1970-01-21,NA,NA,NA,NA,NA,NA,NA,NA,5.68
1970-01-22,NA,NA,NA,NA,NA,NA,NA,NA,2.27
1970-01-23,NA,NA,NA,NA,NA,NA,NA,NA,5.62
1970-01-24,NA,NA,NA,NA,NA,NA,NA,NA,2.98
1970-01-25,NA,NA,NA,NA,NA,NA,NA,NA,1.16
1970-01-26,NA,NA,NA,NA,NA,NA,NA,NA,1.62
1970-01-27,NA,NA,NA,NA,NA,NA,NA,NA,1.57
1970-01-28,NA,NA,NA,NA,NA,NA,NA,NA,3.14
1970-01-29,NA,NA,NA,NA,NA,NA,NA,NA,6.30
1970-01-30,NA,NA,NA,NA,NA,NA,NA,NA,6.13
1970-01-31,NA,NA,NA,NA,NA,NA,NA,NA,2.98
1970-02-01,NA,NA,NA,NA,NA,NA,NA,NA,6.34
1970-02-02,NA,NA,NA,NA,NA,NA,NA,NA,7.58
1970-02-03,NA,NA,NA,NA,NA,NA,NA,NA,6.46
1970-02-04,NA,NA,NA,NA,NA,NA,NA,NA,4.40
1970-02-05,NA,NA,NA,NA,NA,NA,NA,NA,3.45
1970-02-06,NA,NA,NA,NA,NA,NA,NA,NA,2.65
1970-02-07,NA,NA,NA,NA,NA,NA,NA,NA,6.88
1970-02-08,NA,NA,NA,NA,NA,NA,NA,NA,7.11
1970-02-09,NA,NA,NA,NA,NA,NA,NA,NA,5.98
1970-02-10,NA,NA,NA,NA,NA,NA,NA,NA,4.71
1970-02-11,NA,NA,NA,NA,NA,NA,NA,NA,1.84
