datetime,prcp,temp_mean,temp_min,temp_max,temp_avg,rel_hum,vap_press,sun_dur,wind_speed
1979-03-01,NA,NA,NA,NA,NA,NA,NA,NA,4.89
1979-03-02,NA,NA,NA,NA,NA,NA,NA,NA,6.30
1979-03-03,NA,NA,NA,NA,NA,NA,NA,NA,6.81
1979-03-04,NA,NA,NA,NA,NA,NA,NA,NA,4.47
1979-03-05,NA,NA,NA,NA,NA,NA,NA,NA,3.76
1979-03-06,NA,NA,NA,NA,NA,NA,NA,NA,8.23
1979-03-07,NA,NA,NA,NA,NA,NA,NA,NA,5.70
1979-03-08,NA,NA,NA,NA,NA,NA,NA,NA,6.40
1979-03-09,NA,NA,NA,NA,NA,NA,NA,NA,9.55
1979-03-10,NA,NA,NA,NA,NA,NA,NA,NA,3.96
1979-03-11,NA,NA,NA,NA,NA,NA,NA,NA,7.41
1979-03-12,NA,NA,NA,NA,NA,NA,NA,NA,6.55
1979-03-13,NA,NA,NA,NA,NA,NA,NA,NA,4.20
1979-03-14,NA,NA,NA,NA,NA,NA,NA,NA,8.47
1979-03-15,NA,NA,NA,NA,NA,NA,NA,NA,9.52
1979-03-16,NA,NA,NA,NA,NA,NA,NA,NA,5.95
1979-03-17,NA,NA,NA,NA,NA,NA,NA,NA,3.71
1979-03-18,NA,NA,NA,NA,NA,NA,NA,NA,3.11
1979-03-19,NA,NA,NA,NA,NA,NA,NA,NA,5.81
1979-03-20,NA,NA,NA,NA,NA,NA,NA,NA,4.27
1979-03-21,NA,NA,NA,NA,NA,NA,NA,NA,5.70
1979-03-22,NA,NA,NA,NA,NA,NA,NA,NA,4.46
1979-03-23,NA,NA,NA,NA,NA,NA,NA,NA,1.49
1979-03-24,NA,NA,NA,NA,NA,NA,NA,NA,6.00
1979-03-25,NA,NA,NA,NA,NA,NA,NA,NA,9.50
1979-03-26,NA,NA,NA,NA,NA,NA,NA,NA,10.38
1979-03-27,NA,NA,NA,NA,NA,NA,NA,NA,6.80
1979-03-28,NA,NA,NA,NA,NA,NA,NA,NA,8.90
1979-03-29,NA,NA,NA,NA,NA,NA,NA,NA,7.10
1979-03-30,NA,NA,NA,NA,NA,NA,NA,NA,6.10
1979-03-31,NA,NA,NA,NA,NA,NA,NA,NA,2.25
1979-04-01,NA,NA,NA,NA,NA,NA,NA,NA,4.03
1979-04-02,NA,NA,NA,NA,NA,NA,NA,NA,2.68
1979-04-03,NA,NA,NA,NA,NA,NA,NA,NA,2.01
1979-04-04,NA,NA,NA,NA,NA,NA,NA,NA,1.28
1979-04-05,NA,NA,NA,NA,NA,NA,NA,NA,1.71
1979-04-06,NA,NA,NA,NA,NA,NA,NA,NA,3.33
1979-04-07,NA,NA,NA,NA,NA,NA,NA,NA,4.82
1979-04-08,NA,NA,NA,NA,NA,NA,NA,NA,4.15
1979-04-09,NA,NA,NA,NA,NA,NA,NA,NA,3.68
1979-04-10,NA,NA,NA,NA,NA,NA,NA,NA,4.63
1979-04-11,NA,NA,NA,NA,NA,NA,NA,NA,4.75
1979-04-12,NA,NA,NA,NA,NA,NA,NA,NA,6.83
1979-04-13,NA,NA,NA,NA,NA,NA,NA,NA,4.81
1979-04-14,NA,NA,NA,NA,NA,NA,NA,NA,3.79
1979-04-15,NA,NA,NA,NA,NA,NA,NA,NA,2.65
1979-04-16,NA,NA,NA,NA,NA,NA,NA,NA,5.17
1979-04-17,NA,NA,NA,NA,NA,NA,NA,NA,6.22
1979-04-18,NA,NA,NA,NA,NA,NA,NA,NA,2.25
1979-04-19,NA,NA,NA,NA,NA,NA,NA,NA,3.77
1979-04-20,NA,NA,NA,NA,NA,NA,NA,NA,4.67
1979-04-21,NA,NA,NA,NA,NA,NA,NA,NA,4.40
1979-04-22,NA,NA,NA,NA,NA,NA,NA,NA,4.83
1979-04-23,NA,NA,NA,NA,NA,NA,NA,NA,6.05
1979-04-24,NA,NA,NA,NA,NA,NA,NA,NA,3.88
1979-04-25,NA,NA,NA,NA,NA,NA,NA,NA,6.68
1979-04-26,NA,NA,NA,NA,NA,NA,NA,NA,6.45
1979-04-27,NA,NA,NA,NA,NA,NA,NA,NA,4.62
1979-04-28,NA,NA,NA,NA,NA,NA,NA,NA,4.56
1979-04-29,NA,NA,NA,NA,NA,NA,NA,NA,4.61
1979-04-30,NA,NA,NA,NA,NA,NA,NA,NA,7.25
1979-05-01,NA,NA,NA,NA,NA,NA,NA,NA,4.95
1979-05-02,NA,NA,NA,NA,NA,NA,NA,NA,6.13
1979-05-03,NA,NA,NA,NA,NA,NA,NA,NA,3.80
1979-05-04,NA,NA,NA,NA,NA,NA,NA,NA,3.45
1979-05-05,NA,NA,NA,NA,NA,NA,NA,NA,2.66
1979-05-06,NA,NA,NA,NA,NA,NA,NA,NA,3.07
1979-05-07,NA,NA,NA,NA,NA,NA,NA,NA,5.68
1979-05-08,NA,NA,NA,NA,NA,NA,NA,NA,2.99
1979-05-09,NA,NA,NA,NA,NA,NA,NA,NA,3.42
1979-05-10,NA,NA,NA,NA,NA,NA,NA,NA,5.00
1979-05-11,NA,NA,NA,NA,NA,NA,NA,NA,5.36
1979-05-12,NA,NA,NA,NA,NA,NA,NA,NA,2.22
1979-05-13,NA,NA,NA,NA,NA,NA,NA,NA,2.72
1979-05-14,NA,NA,NA,NA,NA,NA,NA,NA,2.35
1979-05-15,NA,NA,NA,NA,NA,NA,NA,NA,2.28
1979-05-16,NA,NA,NA,NA,NA,NA,NA,NA,4.84
1979-05-17,NA,NA,NA,NA,NA,NA,NA,NA,8.54
1979-05-18,NA,NA,NA,NA,NA,NA,NA,NA,4.97
1979-05-19,NA,NA,NA,NA,NA,NA,NA,NA,2.99
1979-05-20,NA,NA,NA,NA,NA,NA,NA,NA,3.85
1979-05-21,NA,NA,NA,NA,NA,NA,NA,NA,5.73
1979-05-22,NA,NA,NA,NA,NA,NA,NA,NA,6.04
1979-05-23,NA,NA,NA,NA,NA,NA,NA,NA,6.51
1979-05-24,NA,NA,NA,NA,NA,NA,NA,NA,3.85
1979-05-25,NA,NA,NA,NA,NA,NA,NA,NA,4.35
1979-05-26,NA,NA,NA,NA,NA,NA,NA,NA,5.42
1979-05-27,NA,NA,NA,NA,NA,NA,NA,NA,2.74
1979-05-28,NA,NA,NA,NA,NA,NA,NA,NA,5.76
1979-05-29,NA,NA,NA,NA,NA,NA,NA,NA,5.73
1979-05-30,NA,NA,NA,NA,NA,NA,NA,NA,3.70
1979-05-31,NA,NA,NA,NA,NA,NA,NA,NA,2.88
1979-06-01,NA,NA,NA,NA,NA,NA,NA,NA,4.48
1979-06-02,NA,NA,NA,NA,NA,NA,NA,NA,7.22
1979-06-03,NA,NA,NA,NA,NA,NA,NA,NA,2.99
1979-06-04,NA,NA,NA,NA,NA,NA,NA,NA,2.97
1979-06-05,NA,NA,NA,NA,NA,NA,NA,NA,3.84
1979-06-06,NA,NA,NA,NA,NA,NA,NA,NA,4.27
1979-06-07,NA,NA,NA,NA,NA,NA,NA,NA,2.79
1979-06-08,NA,NA,NA,NA,NA,NA,NA,NA,2.78
1979-06-09,NA,NA,NA,NA,NA,NA,NA,NA,1.75
1979-06-10,NA,NA,NA,NA,NA,NA,NA,NA,5.81
1979-06-11,NA,NA,NA,NA,NA,NA,NA,NA,2.76
1979-06-12,NA,NA,NA,NA,NA,NA,NA,NA,0.97
1979-06-13,NA,NA,NA,NA,NA,NA,NA,NA,2.59
1979-06-14,NA,NA,NA,NA,NA,NA,NA,NA,5.82
1979-06-15,NA,NA,NA,NA,NA,NA,NA,NA,6.67
1979-06-16,NA,NA,NA,NA,NA,NA,NA,NA,3.58
1979-06-17,NA,NA,NA,NA,NA,NA,NA,NA,1.88
1979-06-18,NA,NA,NA,NA,NA,NA,NA,NA,1.83
1979-06-19,NA,NA,NA,NA,NA,NA,NA,NA,1.98
1979-06-20,NA,NA,NA,NA,NA,NA,NA,NA,2.28
1979-06-21,NA,NA,NA,NA,NA,NA,NA,NA,3.27
1979-06-22,NA,NA,NA,NA,NA,NA,NA,NA,2.94
1979-06-23,NA,NA,NA,NA,NA,NA,NA,NA,2.36
1979-06-24,NA,NA,NA,NA,NA,NA,NA,NA,5.05
1979-06-25,NA,NA,NA,NA,NA,NA,NA,NA,4.57
1979-06-26,NA,NA,NA,NA,NA,NA,NA,NA,1.98
1979-06-27,NA,NA,NA,NA,NA,NA,NA,NA,2.09
1979-06-28,NA,NA,NA,NA,NA,NA,NA,NA,4.41
1979-06-29,NA,NA,NA,NA,NA,NA,NA,NA,5.58
1979-06-30,NA,NA,NA,NA,NA,NA,NA,NA,4.88
1979-07-01,NA,NA,NA,NA,NA,NA,NA,NA,4.43
1979-07-02,NA,NA,NA,NA,NA,NA,NA,NA,2.29
1979-07-03,NA,NA,NA,NA,NA,NA,NA,NA,2.78
1979-07-04,NA,NA,NA,NA,NA,NA,NA,NA,2.10
1979-07-05,NA,NA,NA,NA,NA,NA,NA,NA,2.11
1979-07-06,NA,NA,NA,NA,NA,NA,NA,NA,3.47
1979-07-07,NA,NA,NA,NA,NA,NA,NA,NA,5.60
1979-07-08,NA,NA,NA,NA,NA,NA,NA,NA,4.64
1979-07-09,NA,NA,NA,NA,NA,NA,NA,NA,4.77
1979-07-10,NA,NA,NA,NA,NA,NA,NA,NA,2.76
1979-07-11,NA,NA,NA,NA,NA,NA,NA,NA,3.10
1979-07-12,NA,NA,NA,NA,NA,NA,NA,NA,4.83
1979-07-13,NA,NA,NA,NA,NA,NA,NA,NA,2.79
1979-07-14,NA,NA,NA,NA,NA,NA,NA,NA,3.52
1979-07-15,NA,NA,NA,NA,NA,NA,NA,NA,2.90
1979-07-16,NA,NA,NA,NA,NA,NA,NA,NA,2.76
1979-07-17,NA,NA,NA,NA,NA,NA,NA,NA,4.03
1979-07-18,NA,NA,NA,NA,NA,NA,NA,NA,5.45
1979-07-19,NA,NA,NA,NA,NA,NA,NA,NA,4.36
1979-07-20,NA,NA,NA,NA,NA,NA,NA,NA,5.06
1979-07-21,NA,NA,NA,NA,NA,NA,NA,NA,5.89
1979-07-22,NA,NA,NA,NA,NA,NA,NA,NA,4.17
1979-07-23,NA,NA,NA,NA,NA,NA,NA,NA,3.41
1979-07-24,NA,NA,NA,NA,NA,NA,NA,NA,2.15
1979-07-25,NA,NA,NA,NA,NA,NA,NA,NA,2.85
1979-07-26,NA,NA,NA,NA,NA,NA,NA,NA,1.98
1979-07-27,NA,NA,NA,NA,NA,NA,NA,NA,1.56
1979-07-28,NA,NA,NA,NA,NA,NA,NA,NA,3.88
1979-07-29,NA,NA,NA,NA,NA,NA,NA,NA,5.08
1979-07-30,NA,NA,NA,NA,NA,NA,NA,NA,4.59
1979-07-31,NA,NA,NA,NA,NA,NA,NA,NA,5.92
1979-08-01,NA,NA,NA,NA,NA,NA,NA,NA,4.37
1979-08-02,NA,NA,NA,NA,NA,NA,NA,NA,5.64
1979-08-03,NA,NA,NA,NA,NA,NA,NA,NA,2.46
1979-08-04,NA,NA,NA,NA,NA,NA,NA,NA,1.90
1979-08-05,NA,NA,NA,NA,NA,NA,NA,NA,2.14
1979-08-06,NA,NA,NA,NA,NA,NA,NA,NA,4.44
1979-08-07,NA,NA,NA,NA,NA,NA,NA,NA,5.52
1979-08-08,NA,NA,NA,NA,NA,NA,NA,NA,4.46
1979-08-09,NA,NA,NA,NA,NA,NA,NA,NA,6.83
1979-08-10,NA,NA,NA,NA,NA,NA,NA,NA,2.84
1979-08-11,NA,NA,NA,NA,NA,NA,NA,NA,2.06
1979-08-12,NA,NA,NA,NA,NA,NA,NA,NA,2.43
1979-08-13,NA,NA,NA,NA,NA,NA,NA,NA,4.71
1979-08-14,NA,NA,NA,NA,NA,NA,NA,NA,9.60
1979-08-15,NA,NA,NA,NA,NA,NA,NA,NA,4.35
1979-08-16,NA,NA,NA,NA,NA,NA,NA,NA,4.79
1979-08-17,NA,NA,NA,NA,NA,NA,NA,NA,4.45
1979-08-18,NA,NA,NA,NA,NA,NA,NA,NA,3.98
1979-08-19,NA,NA,NA,NA,NA,NA,NA,NA,1.88
1979-08-20,NA,NA,NA,NA,NA,NA,NA,NA,3.65
1979-08-21,NA,NA,NA,NA,NA,NA,NA,NA,4.30
1979-08-22,NA,NA,NA,NA,NA,NA,NA,NA,3.93
1979-08-23,NA,NA,NA,NA,NA,NA,NA,NA,3.66
