datetime,prcp,temp_mean,temp_min,temp_max,temp_avg,rel_hum,vap_press,sun_dur,wind_speed
1904-02-01,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1904-02-02,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1904-02-03,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1904-02-04,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1904-02-05,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1904-02-06,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1904-02-07,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1904-02-08,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1904-02-09,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1904-02-10,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1904-02-11,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1904-02-12,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1904-02-13,NA,NA,NA,NA,NA,NA,NA,4.90,NA
1904-02-14,NA,NA,NA,NA,NA,NA,NA,2.60,NA
1904-02-15,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1904-02-16,NA,NA,NA,NA,NA,NA,NA,2.50,NA
1904-02-17,NA,NA,NA,NA,NA,NA,NA,0.40,NA
1904-02-18,NA,NA,NA,NA,NA,NA,NA,2.50,NA
1904-02-19,NA,NA,NA,NA,NA,NA,NA,5.40,NA
1904-02-20,NA,NA,NA,NA,NA,NA,NA,0.10,NA
1904-02-21,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1904-02-22,NA,NA,NA,NA,NA,NA,NA,2.20,NA
1904-02-23,NA,NA,NA,NA,NA,NA,NA,6.30,NA
1904-02-24,NA,NA,NA,NA,NA,NA,NA,4.30,NA
1904-02-25,NA,NA,NA,NA,NA,NA,NA,2.10,NA
1904-02-26,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1904-02-27,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1904-02-28,NA,NA,NA,NA,NA,NA,NA,1.40,NA
1904-02-29,NA,NA,NA,NA,NA,NA,NA,1.40,NA
1904-03-01,NA,NA,NA,NA,NA,NA,NA,0.30,NA
1904-03-02,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1904-03-03,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1904-03-04,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1904-03-05,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1904-03-06,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1904-03-07,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1904-03-08,NA,NA,NA,NA,NA,NA,NA,6.20,NA
1904-03-09,NA,NA,NA,NA,NA,NA,NA,2.50,NA
1904-03-10,NA,NA,NA,NA,NA,NA,NA,6.20,NA
1904-03-11,NA,NA,NA,NA,NA,NA,NA,7.50,NA
1904-03-12,NA,NA,NA,NA,NA,NA,NA,3.30,NA
1904-03-13,NA,NA,NA,NA,NA,NA,NA,2.20,NA
1904-03-14,NA,NA,NA,NA,NA,NA,NA,1.20,NA
1904-03-15,NA,NA,NA,NA,NA,NA,NA,2.20,NA
1904-03-16,NA,NA,NA,NA,NA,NA,NA,6.20,NA
1904-03-17,NA,NA,NA,NA,NA,NA,NA,8.20,NA
1904-03-18,NA,NA,NA,NA,NA,NA,NA,4.50,NA
1904-03-19,NA,NA,NA,NA,NA,NA,NA,0.50,NA
1904-03-20,NA,NA,NA,NA,NA,NA,NA,0.20,NA
1904-03-21,NA,NA,NA,NA,NA,NA,NA,0.90,NA
1904-03-22,NA,NA,NA,NA,NA,NA,NA,6.60,NA
1904-03-23,NA,NA,NA,NA,NA,NA,NA,2.00,NA
1904-03-24,NA,NA,NA,NA,NA,NA,NA,2.50,NA
1904-03-25,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1904-03-26,NA,NA,NA,NA,NA,NA,NA,0.30,NA
1904-03-27,NA,NA,NA,NA,NA,NA,NA,0.50,NA
1904-03-28,NA,NA,NA,NA,NA,NA,NA,5.60,NA
1904-03-29,NA,NA,NA,NA,NA,NA,NA,3.40,NA
1904-03-30,NA,NA,NA,NA,NA,NA,NA,5.30,NA
1904-03-31,NA,NA,NA,NA,NA,NA,NA,2.20,NA
1904-04-01,NA,NA,NA,NA,NA,NA,NA,10.20,NA
1904-04-02,NA,NA,NA,NA,NA,NA,NA,3.40,NA
1904-04-03,NA,NA,NA,NA,NA,NA,NA,7.30,NA
1904-04-04,NA,NA,NA,NA,NA,NA,NA,6.50,NA
1904-04-05,NA,NA,NA,NA,NA,NA,NA,0.20,NA
1904-04-06,NA,NA,NA,NA,NA,NA,NA,9.80,NA
1904-04-07,NA,NA,NA,NA,NA,NA,NA,5.00,NA
1904-04-08,NA,NA,NA,NA,NA,NA,NA,2.50,NA
1904-04-09,NA,NA,NA,NA,NA,NA,NA,5.50,NA
1904-04-10,NA,NA,NA,NA,NA,NA,NA,6.40,NA
1904-04-11,NA,NA,NA,NA,NA,NA,NA,11.50,NA
1904-04-12,NA,NA,NA,NA,NA,NA,NA,6.50,NA
1904-04-13,NA,NA,NA,NA,NA,NA,NA,5.50,NA
1904-04-14,NA,NA,NA,NA,NA,NA,NA,4.20,NA
1904-04-15,NA,NA,NA,NA,NA,NA,NA,0.40,NA
1904-04-16,NA,NA,NA,NA,NA,NA,NA,7.30,NA
1904-04-17,NA,NA,NA,NA,NA,NA,NA,10.20,NA
1904-04-18,NA,NA,NA,NA,NA,NA,NA,6.80,NA
1904-04-19,NA,NA,NA,NA,NA,NA,NA,6.30,NA
1904-04-20,NA,NA,NA,NA,NA,NA,NA,9.70,NA
1904-04-21,NA,NA,NA,NA,NA,NA,NA,0.30,NA
