datetime,prcp,temp_mean,temp_min,temp_max,temp_avg,rel_hum,vap_press,sun_dur,wind_speed
1980-05-23,NA,NA,NA,NA,NA,NA,NA,0.10,NA
1980-05-24,NA,NA,NA,NA,NA,NA,NA,1.60,NA
1980-05-25,NA,NA,NA,NA,NA,NA,NA,2.30,NA
1980-05-26,NA,NA,NA,NA,NA,NA,NA,1.40,NA
1980-05-27,NA,NA,NA,NA,NA,NA,NA,5.70,NA
1980-05-28,NA,NA,NA,NA,NA,NA,NA,4.70,NA
1980-05-29,NA,NA,NA,NA,NA,NA,NA,4.60,NA
1980-05-30,NA,NA,NA,NA,NA,NA,NA,7.10,NA
1980-05-31,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1980-06-01,NA,NA,NA,NA,NA,NA,NA,5.90,NA
1980-06-02,NA,NA,NA,NA,NA,NA,NA,0.10,NA
1980-06-03,NA,NA,NA,NA,NA,NA,NA,11.30,NA
1980-06-04,NA,NA,NA,NA,NA,NA,NA,11.00,NA
1980-06-05,NA,NA,NA,NA,NA,NA,NA,8.00,NA
1980-06-06,NA,NA,NA,NA,NA,NA,NA,9.60,NA
1980-06-07,NA,NA,NA,NA,NA,NA,NA,5.80,NA
1980-06-08,NA,NA,NA,NA,NA,NA,NA,5.80,NA
1980-06-09,NA,NA,NA,NA,NA,NA,NA,2.50,NA
1980-06-10,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1980-06-11,NA,NA,NA,NA,NA,NA,NA,2.70,NA
1980-06-12,NA,NA,NA,NA,NA,NA,NA,9.10,NA
1980-06-13,NA,NA,NA,NA,NA,NA,NA,10.30,NA
1980-06-14,NA,NA,NA,NA,NA,NA,NA,1.00,NA
1980-06-15,NA,NA,NA,NA,NA,NA,NA,7.00,NA
1980-06-16,NA,NA,NA,NA,NA,NA,NA,3.60,NA
1980-06-17,NA,NA,NA,NA,NA,NA,NA,3.40,NA
1980-06-18,NA,NA,NA,NA,NA,NA,NA,7.90,NA
1980-06-19,NA,NA,NA,NA,NA,NA,NA,4.40,NA
1980-06-20,NA,NA,NA,NA,NA,NA,NA,9.80,NA
1980-06-21,NA,NA,NA,NA,NA,NA,NA,7.80,NA
1980-06-22,NA,NA,NA,NA,NA,NA,NA,5.80,NA
1980-06-23,NA,NA,NA,NA,NA,NA,NA,4.60,NA
1980-06-24,NA,NA,NA,NA,NA,NA,NA,6.00,NA
1980-06-25,NA,NA,NA,NA,NA,NA,NA,6.00,NA
1980-06-26,NA,NA,NA,NA,NA,NA,NA,8.50,NA
1980-06-27,NA,NA,NA,NA,NA,NA,NA,9.40,NA
1980-06-28,NA,NA,NA,NA,NA,NA,NA,2.20,NA
1980-06-29,NA,NA,NA,NA,NA,NA,NA,7.70,NA
1980-06-30,NA,NA,NA,NA,NA,NA,NA,6.10,NA
1980-07-01,NA,NA,NA,NA,NA,NA,NA,0.40,NA
1980-07-02,NA,NA,NA,NA,NA,NA,NA,4.90,NA
1980-07-03,NA,NA,NA,NA,NA,NA,NA,7.90,NA
1980-07-04,NA,NA,NA,NA,NA,NA,NA,4.00,NA
1980-07-05,NA,NA,NA,NA,NA,NA,NA,6.50,NA
1980-07-06,NA,NA,NA,NA,NA,NA,NA,0.90,NA
1980-07-07,NA,NA,NA,NA,NA,NA,NA,0.30,NA
1980-07-08,NA,NA,NA,NA,NA,NA,NA,0.10,NA
1980-07-09,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1980-07-10,NA,NA,NA,NA,NA,NA,NA,4.80,NA
1980-07-11,NA,NA,NA,NA,NA,NA,NA,4.00,NA
1980-07-12,NA,NA,NA,NA,NA,NA,NA,0.90,NA
1980-07-13,NA,NA,NA,NA,NA,NA,NA,3.80,NA
1980-07-14,NA,NA,NA,NA,NA,NA,NA,0.30,NA
1980-07-15,NA,NA,NA,NA,NA,NA,NA,2.70,NA
1980-07-16,NA,NA,NA,NA,NA,NA,NA,8.60,NA
1980-07-17,NA,NA,NA,NA,NA,NA,NA,0.30,NA
1980-07-18,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1980-07-19,NA,NA,NA,NA,NA,NA,NA,0.60,NA
1980-07-20,NA,NA,NA,NA,NA,NA,NA,1.50,NA
1980-07-21,NA,NA,NA,NA,NA,NA,NA,11.50,NA
1980-07-22,NA,NA,NA,NA,NA,NA,NA,13.90,NA
1980-07-23,NA,NA,NA,NA,NA,NA,NA,9.00,NA
1980-07-24,NA,NA,NA,NA,NA,NA,NA,14.30,NA
1980-07-25,NA,NA,NA,NA,NA,NA,NA,13.50,NA
1980-07-26,NA,NA,NA,NA,NA,NA,NA,1.90,NA
1980-07-27,NA,NA,NA,NA,NA,NA,NA,6.30,NA
1980-07-28,NA,NA,NA,NA,NA,NA,NA,12.50,NA
1980-07-29,NA,NA,NA,NA,NA,NA,NA,1.00,NA
1980-07-30,NA,NA,NA,NA,NA,NA,NA,8.40,NA
1980-07-31,NA,NA,NA,NA,NA,NA,NA,11.20,NA
1980-08-01,NA,NA,NA,NA,NA,NA,NA,5.00,NA
1980-08-02,NA,NA,NA,NA,NA,NA,NA,5.00,NA
1980-08-03,NA,NA,NA,NA,NA,NA,NA,4.60,NA
1980-08-04,NA,NA,NA,NA,NA,NA,NA,0.70,NA
1980-08-05,NA,NA,NA,NA,NA,NA,NA,6.10,NA
1980-08-06,NA,NA,NA,NA,NA,NA,NA,1.80,NA
1980-08-07,NA,NA,NA,NA,NA,NA,NA,6.10,NA
1980-08-08,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1980-08-09,NA,NA,NA,NA,NA,NA,NA,7.30,NA
1980-08-10,NA,NA,NA,NA,NA,NA,NA,11.80,NA
1980-08-11,NA,NA,NA,NA,NA,NA,NA,0.10,NA
1980-08-12,NA,NA,NA,NA,NA,NA,NA,6.40,NA
1980-08-13,NA,NA,NA,NA,NA,NA,NA,3.00,NA
1980-08-14,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1980-08-15,NA,NA,NA,NA,NA,NA,NA,6.60,NA
1980-08-16,NA,NA,NA,NA,NA,NA,NA,8.60,NA
1980-08-17,NA,NA,NA,NA,NA,NA,NA,4.20,NA
1980-08-18,NA,NA,NA,NA,NA,NA,NA,9.00,NA
1980-08-19,NA,NA,NA,NA,NA,NA,NA,7.00,NA
1980-08-20,NA,NA,NA,NA,NA,NA,NA,5.90,NA
1980-08-21,NA,NA,NA,NA,NA,NA,NA,11.10,NA
1980-08-22,NA,NA,NA,NA,NA,NA,NA,7.00,NA
1980-08-23,NA,NA,NA,NA,NA,NA,NA,7.20,NA
1980-08-24,NA,NA,NA,NA,NA,NA,NA,8.20,NA
1980-08-25,NA,NA,NA,NA,NA,NA,NA,10.40,NA
1980-08-26,NA,NA,NA,NA,NA,NA,NA,7.60,NA
1980-08-27,NA,NA,NA,NA,NA,NA,NA,9.50,NA
1980-08-28,NA,NA,NA,NA,NA,NA,NA,4.90,NA
1980-08-29,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1980-08-30,NA,NA,NA,NA,NA,NA,NA,5.60,NA
1980-08-31,NA,NA,NA,NA,NA,NA,NA,10.20,NA
1980-09-01,NA,NA,NA,NA,NA,NA,NA,9.30,NA
1980-09-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980-09-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980-09-05,NA,NA,NA,NA,NA,NA,NA,3.50,NA
1980-09-06,NA,NA,NA,NA,NA,NA,NA,9.70,NA
1980-09-07,NA,NA,NA,NA,NA,NA,NA,11.30,NA
1980-09-08,NA,NA,NA,NA,NA,NA,NA,4.90,NA
1980-09-09,NA,NA,NA,NA,NA,NA,NA,3.00,NA
1980-09-10,NA,NA,NA,NA,NA,NA,NA,1.10,NA
1980-09-11,NA,NA,NA,NA,NA,NA,NA,0.70,NA
1980-09-12,NA,NA,NA,NA,NA,NA,NA,7.90,NA
1980-09-13,NA,NA,NA,NA,NA,NA,NA,7.00,NA
1980-09-14,NA,NA,NA,NA,NA,NA,NA,1.90,NA
1980-09-15,NA,NA,NA,NA,NA,NA,NA,0.10,NA
1980-09-16,NA,NA,NA,NA,NA,NA,NA,1.30,NA
1980-09-17,NA,NA,NA,NA,NA,NA,NA,4.60,NA
1980-09-18,NA,NA,NA,NA,NA,NA,NA,2.80,NA
1980-09-19,NA,NA,NA,NA,NA,NA,NA,3.70,NA
1980-09-20,NA,NA,NA,NA,NA,NA,NA,0.40,NA
1980-09-21,NA,NA,NA,NA,NA,NA,NA,7.00,NA
1980-09-22,NA,NA,NA,NA,NA,NA,NA,5.60,NA
1980-09-23,NA,NA,NA,NA,NA,NA,NA,2.60,NA
1980-09-24,NA,NA,NA,NA,NA,NA,NA,6.20,NA
1980-09-25,NA,NA,NA,NA,NA,NA,NA,7.60,NA
1980-09-26,NA,NA,NA,NA,NA,NA,NA,4.50,NA
1980-09-27,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1980-09-28,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1980-09-29,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1980-09-30,NA,NA,NA,NA,NA,NA,NA,7.90,NA
1980-10-01,NA,NA,NA,NA,NA,NA,NA,1.40,NA
1980-10-02,NA,NA,NA,NA,NA,NA,NA,9.00,NA
1980-10-03,NA,NA,NA,NA,NA,NA,NA,8.40,NA
1980-10-04,NA,NA,NA,NA,NA,NA,NA,6.40,NA
1980-10-05,NA,NA,NA,NA,NA,NA,NA,4.90,NA
1980-10-06,NA,NA,NA,NA,NA,NA,NA,1.00,NA
1980-10-07,NA,NA,NA,NA,NA,NA,NA,5.80,NA
1980-10-08,NA,NA,NA,NA,NA,NA,NA,5.10,NA
1980-10-09,NA,NA,NA,NA,NA,NA,NA,7.70,NA
