datetime,prcp,temp_mean,temp_min,temp_max,temp_avg,rel_hum,vap_press,sun_dur,wind_speed
1975-10-01,NA,NA,NA,NA,NA,NA,NA,3.60,NA
1975-10-02,NA,NA,NA,NA,NA,NA,NA,0.50,NA
1975-10-03,NA,NA,NA,NA,NA,NA,NA,8.50,NA
1975-10-04,NA,NA,NA,NA,NA,NA,NA,3.70,NA
1975-10-05,NA,NA,NA,NA,NA,NA,NA,2.00,NA
1975-10-06,NA,NA,NA,NA,NA,NA,NA,1.00,NA
1975-10-07,NA,NA,NA,NA,NA,NA,NA,8.80,NA
1975-10-08,NA,NA,NA,NA,NA,NA,NA,6.60,NA
1975-10-09,NA,NA,NA,NA,NA,NA,NA,5.30,NA
1975-10-10,NA,NA,NA,NA,NA,NA,NA,5.50,NA
1975-10-11,NA,NA,NA,NA,NA,NA,NA,7.60,NA
1975-10-12,NA,NA,NA,NA,NA,NA,NA,5.60,NA
1975-10-13,NA,NA,NA,NA,NA,NA,NA,2.60,NA
1975-10-14,NA,NA,NA,NA,NA,NA,NA,1.50,NA
1975-10-15,NA,NA,NA,NA,NA,NA,NA,5.80,NA
1975-10-16,NA,NA,NA,NA,NA,NA,NA,0.70,NA
1975-10-17,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1975-10-18,NA,NA,NA,NA,NA,NA,NA,2.20,NA
1975-10-19,NA,NA,NA,NA,NA,NA,NA,1.90,NA
1975-10-20,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1975-10-21,NA,NA,NA,NA,NA,NA,NA,1.40,NA
1975-10-22,NA,NA,NA,NA,NA,NA,NA,2.10,NA
1975-10-23,NA,NA,NA,NA,NA,NA,NA,6.60,NA
1975-10-24,NA,NA,NA,NA,NA,NA,NA,3.20,NA
1975-10-25,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1975-10-26,NA,NA,NA,NA,NA,NA,NA,0.20,NA
1975-10-27,NA,NA,NA,NA,NA,NA,NA,5.60,NA
1975-10-28,NA,NA,NA,NA,NA,NA,NA,3.10,NA
1975-10-29,NA,NA,NA,NA,NA,NA,NA,2.20,NA
1975-10-30,NA,NA,NA,NA,NA,NA,NA,2.60,NA
1975-10-31,NA,NA,NA,NA,NA,NA,NA,1.40,NA
1975-11-01,NA,NA,NA,NA,NA,NA,NA,1.80,NA
1975-11-02,NA,NA,NA,NA,NA,NA,NA,5.20,NA
1975-11-03,NA,NA,NA,NA,NA,NA,NA,5.90,NA
1975-11-04,NA,NA,NA,NA,NA,NA,NA,5.80,NA
1975-11-05,NA,NA,NA,NA,NA,NA,NA,0.50,NA
1975-11-06,NA,NA,NA,NA,NA,NA,NA,5.10,NA
1975-11-07,NA,NA,NA,NA,NA,NA,NA,4.70,NA
1975-11-08,NA,NA,NA,NA,NA,NA,NA,1.00,NA
1975-11-09,NA,NA,NA,NA,NA,NA,NA,0.20,NA
1975-11-10,NA,NA,NA,NA,NA,NA,NA,5.50,NA
1975-11-11,NA,NA,NA,NA,NA,NA,NA,4.90,NA
1975-11-12,NA,NA,NA,NA,NA,NA,NA,3.60,NA
1975-11-13,NA,NA,NA,NA,NA,NA,NA,2.80,NA
1975-11-14,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1975-11-15,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1975-11-16,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1975-11-17,NA,NA,NA,NA,NA,NA,NA,1.60,NA
1975-11-18,NA,NA,NA,NA,NA,NA,NA,5.70,NA
1975-11-19,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1975-11-20,NA,NA,NA,NA,NA,NA,NA,1.90,NA
1975-11-21,NA,NA,NA,NA,NA,NA,NA,6.00,NA
1975-11-22,NA,NA,NA,NA,NA,NA,NA,5.60,NA
1975-11-23,NA,NA,NA,NA,NA,NA,NA,0.10,NA
1975-11-24,NA,NA,NA,NA,NA,NA,NA,2.20,NA
1975-11-25,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1975-11-26,NA,NA,NA,NA,NA,NA,NA,0.30,NA
1975-11-27,NA,NA,NA,NA,NA,NA,NA,1.10,NA
1975-11-28,NA,NA,NA,NA,NA,NA,NA,0.30,NA
1975-11-29,NA,NA,NA,NA,NA,NA,NA,1.10,NA
1975-11-30,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1975-12-01,NA,NA,NA,NA,NA,NA,NA,1.20,NA
1975-12-02,NA,NA,NA,NA,NA,NA,NA,1.50,NA
1975-12-03,NA,NA,NA,NA,NA,NA,NA,5.10,NA
1975-12-04,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1975-12-05,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1975-12-06,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1975-12-07,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1975-12-08,NA,NA,NA,NA,NA,NA,NA,2.90,NA
1975-12-09,NA,NA,NA,NA,NA,NA,NA,5.00,NA
1975-12-10,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1975-12-11,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1975-12-12,NA,NA,NA,NA,NA,NA,NA,0.60,NA
1975-12-13,NA,NA,NA,NA,NA,NA,NA,4.30,NA
1975-12-14,NA,NA,NA,NA,NA,NA,NA,0.60,NA
1975-12-15,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1975-12-16,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1975-12-17,NA,NA,NA,NA,NA,NA,NA,1.60,NA
1975-12-18,NA,NA,NA,NA,NA,NA,NA,2.70,NA
1975-12-19,NA,NA,NA,NA,NA,NA,NA,0.10,NA
1975-12-20,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1975-12-21,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1975-12-22,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1975-12-23,NA,NA,NA,NA,NA,NA,NA,0.10,NA
1975-12-24,NA,NA,NA,NA,NA,NA,NA,6.00,NA
1975-12-25,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1975-12-26,NA,NA,NA,NA,NA,NA,NA,1.80,NA
1975-12-27,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1975-12-28,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1975-12-29,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1975-12-30,NA,NA,NA,NA,NA,NA,NA,1.10,NA
1975-12-31,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1976-01-01,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1976-01-02,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1976-01-03,NA,NA,NA,NA,NA,NA,NA,6.20,NA
1976-01-04,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1976-01-05,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1976-01-06,NA,NA,NA,NA,NA,NA,NA,2.30,NA
1976-01-07,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1976-01-08,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1976-01-09,NA,NA,NA,NA,NA,NA,NA,5.50,NA
1976-01-10,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1976-01-11,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1976-01-12,NA,NA,NA,NA,NA,NA,NA,3.30,NA
1976-01-13,NA,NA,NA,NA,NA,NA,NA,5.50,NA
1976-01-14,NA,NA,NA,NA,NA,NA,NA,4.80,NA
1976-01-15,NA,NA,NA,NA,NA,NA,NA,3.70,NA
1976-01-16,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1976-01-17,NA,NA,NA,NA,NA,NA,NA,0.40,NA
1976-01-18,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1976-01-19,NA,NA,NA,NA,NA,NA,NA,1.40,NA
1976-01-20,NA,NA,NA,NA,NA,NA,NA,1.70,NA
1976-01-21,NA,NA,NA,NA,NA,NA,NA,0.30,NA
1976-01-22,NA,NA,NA,NA,NA,NA,NA,1.70,NA
1976-01-23,NA,NA,NA,NA,NA,NA,NA,6.10,NA
1976-01-24,NA,NA,NA,NA,NA,NA,NA,3.30,NA
1976-01-25,NA,NA,NA,NA,NA,NA,NA,5.10,NA
1976-01-26,NA,NA,NA,NA,NA,NA,NA,1.30,NA
1976-01-27,NA,NA,NA,NA,NA,NA,NA,1.80,NA
1976-01-28,NA,NA,NA,NA,NA,NA,NA,2.60,NA
1976-01-29,NA,NA,NA,NA,NA,NA,NA,2.60,NA
1976-01-30,NA,NA,NA,NA,NA,NA,NA,4.90,NA
1976-01-31,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1976-02-01,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1976-02-02,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1976-02-03,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1976-02-04,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1976-02-05,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1976-02-06,NA,NA,NA,NA,NA,NA,NA,0.60,NA
1976-02-07,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1976-02-08,NA,NA,NA,NA,NA,NA,NA,1.60,NA
1976-02-09,NA,NA,NA,NA,NA,NA,NA,1.40,NA
1976-02-10,NA,NA,NA,NA,NA,NA,NA,8.40,NA
1976-02-11,NA,NA,NA,NA,NA,NA,NA,7.50,NA
1976-02-12,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1976-02-13,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1976-02-14,NA,NA,NA,NA,NA,NA,NA,4.60,NA
1976-02-15,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1976-02-16,NA,NA,NA,NA,NA,NA,NA,0.00,NA
