datetime,prcp,temp_mean,temp_min,temp_max,temp_avg,rel_hum,vap_press,sun_dur,wind_speed
2012-09-06,NA,12.45,3.30,19.90,11.60,77.76,1.10,NA,NA
2012-09-07,0.00,15.25,7.20,23.30,15.25,74.85,1.25,NA,NA
2012-09-08,0.00,12.92,4.10,24.20,14.15,74.08,1.03,NA,NA
2012-09-09,0.00,14.69,3.90,24.80,14.35,79.88,1.31,NA,NA
2012-09-10,1.00,16.17,14.80,19.10,16.95,88.75,1.63,NA,NA
2012-09-11,0.00,12.58,7.10,16.50,11.80,70.10,1.01,NA,NA
2012-09-12,2.40,11.43,6.00,16.20,11.10,83.33,1.13,NA,NA
2012-09-13,0.00,11.85,4.40,17.40,10.90,77.48,1.06,NA,NA
2012-09-14,0.00,14.18,8.20,18.50,13.35,79.87,1.27,NA,NA
2012-09-15,0.00,12.67,5.30,20.00,12.65,NA,NA,NA,NA
2012-09-16,0.00,14.08,9.90,17.20,13.55,NA,NA,NA,NA
2012-09-17,0.00,13.25,10.80,15.70,13.25,NA,NA,NA,NA
2012-09-18,0.20,10.65,4.60,15.60,10.10,NA,NA,NA,NA
2012-09-19,0.00,9.31,4.30,14.80,9.55,NA,NA,NA,NA
2012-09-20,0.00,11.86,8.70,17.20,12.95,NA,NA,NA,NA
2012-09-21,2.20,11.09,8.20,15.90,12.05,83.88,1.10,NA,NA
2012-09-22,0.00,8.64,2.20,14.40,8.30,76.15,0.83,NA,NA
2012-09-23,15.00,8.86,4.50,10.50,7.50,91.60,1.05,NA,NA
2012-09-24,17.40,11.20,8.60,13.60,11.10,91.50,1.22,NA,NA
2012-09-25,0.60,10.67,7.60,15.30,11.45,83.15,1.06,NA,NA
2012-09-26,5.80,10.65,7.90,14.90,11.40,93.62,1.20,NA,NA
2012-09-27,0.80,11.20,7.10,14.90,11.00,85.74,1.13,NA,NA
2012-09-28,0.00,10.96,6.30,14.30,10.30,86.78,1.13,NA,NA
2012-09-29,0.00,8.94,3.10,14.50,8.80,81.01,0.90,NA,NA
2012-09-30,0.00,11.61,5.00,15.40,10.20,87.80,1.21,NA,NA
2012-10-01,2.00,12.79,9.20,16.40,12.80,89.06,1.31,NA,NA
2012-10-02,2.40,12.21,9.00,15.50,12.25,88.06,1.25,NA,NA
2012-10-03,3.20,10.02,6.80,13.40,10.10,83.55,1.02,NA,NA
2012-10-04,3.60,9.78,4.70,13.90,9.30,86.02,1.04,NA,NA
2012-10-05,18.40,10.60,7.20,14.90,11.05,92.42,1.18,NA,NA
2012-10-06,4.40,7.91,1.90,13.50,7.70,86.89,0.91,NA,NA
2012-10-07,0.00,6.82,1.00,12.00,6.50,96.87,0.97,NA,NA
2012-10-08,3.00,10.52,8.70,11.90,10.30,99.60,1.27,NA,NA
2012-10-09,0.00,10.30,8.50,12.70,10.60,90.70,1.13,NA,NA
2012-10-10,0.00,10.54,8.90,13.20,11.05,83.06,1.05,NA,NA
2012-10-11,9.60,11.75,9.10,14.50,11.80,97.42,1.36,NA,NA
2012-10-12,0.00,8.72,5.30,11.50,8.40,83.43,0.94,NA,NA
2012-10-13,3.00,6.30,2.30,12.70,7.50,90.95,0.86,NA,NA
2012-10-14,0.20,4.05,-1.60,10.70,4.55,88.32,0.71,NA,NA
2012-10-15,4.00,7.66,-0.90,11.30,5.20,96.55,1.03,NA,NA
2012-10-16,0.80,9.53,5.70,13.20,9.45,81.63,0.96,NA,NA
2012-10-17,27.00,11.70,8.90,14.50,11.70,87.97,1.20,NA,NA
2012-10-18,2.20,11.67,7.60,14.70,11.15,89.16,1.22,NA,NA
2012-10-19,3.00,8.74,5.70,11.30,8.50,99.95,1.14,NA,NA
2012-10-20,0.40,8.93,4.60,13.30,8.95,95.64,1.09,NA,NA
2012-10-21,0.60,9.25,4.90,11.20,8.05,98.37,1.15,NA,NA
2012-10-22,1.80,12.36,10.40,13.70,12.05,100.00,1.44,NA,NA
2012-10-23,0.40,11.93,11.10,12.80,11.95,100.00,1.40,NA,NA
2012-10-24,0.00,12.43,11.10,13.80,12.45,100.00,1.45,NA,NA
2012-10-25,0.00,10.51,7.60,12.80,10.20,99.10,1.27,NA,NA
2012-10-26,1.40,5.89,2.60,7.40,5.00,83.75,0.79,NA,NA
2012-10-27,0.00,2.72,-1.10,7.00,2.95,77.90,0.57,NA,NA
2012-10-28,2.80,5.75,-1.00,9.40,4.20,96.96,0.91,NA,NA
2012-10-29,0.20,8.45,4.80,12.40,8.60,92.97,1.03,NA,NA
2012-10-30,0.20,5.85,2.40,9.30,5.85,87.84,0.81,NA,NA
2012-10-31,11.80,7.92,4.40,10.30,7.35,92.82,1.00,NA,NA
2012-11-01,2.40,5.25,2.40,7.90,5.15,91.21,0.81,NA,NA
2012-11-02,0.60,4.44,1.70,8.30,5.00,89.70,0.75,NA,NA
2012-11-03,0.00,3.75,-0.50,8.60,4.05,89.43,0.71,NA,NA
2012-11-04,15.00,2.80,0.10,4.80,2.45,98.10,0.73,NA,NA
2012-11-05,0.00,3.43,-0.60,7.70,3.55,91.89,0.71,NA,NA
2012-11-06,0.00,4.94,-1.50,9.50,4.00,93.54,0.83,NA,NA
2012-11-07,0.00,7.02,3.50,9.00,6.25,92.45,0.93,NA,NA
2012-11-08,0.00,8.46,5.80,12.00,8.90,90.66,1.00,NA,NA
2012-11-09,0.00,7.63,4.00,9.80,6.90,87.73,0.92,NA,NA
2012-11-10,2.00,6.28,1.70,9.50,5.60,95.24,0.91,NA,NA
2012-11-11,0.00,4.22,0.00,10.00,5.00,91.86,0.75,NA,NA
2012-11-12,2.20,8.73,3.80,11.80,7.80,99.05,1.13,NA,NA
2012-11-13,0.00,11.02,8.50,13.20,10.85,93.48,1.23,NA,NA
2012-11-14,0.00,8.02,0.30,11.90,6.10,NA,NA,NA,NA
2012-11-15,0.00,5.74,0.20,7.30,3.75,NA,NA,NA,NA
2012-11-16,0.00,7.26,5.60,10.00,7.80,NA,NA,NA,NA
2012-11-17,0.00,7.80,0.20,11.50,5.85,NA,NA,NA,NA
2012-11-18,0.00,1.62,-3.10,8.10,2.50,NA,NA,NA,NA
2012-11-19,0.20,7.83,0.80,10.80,5.80,NA,NA,NA,NA
2012-11-20,11.20,11.12,8.70,12.50,10.60,NA,NA,NA,NA
2012-11-21,22.60,7.47,5.40,9.50,7.45,NA,NA,NA,NA
2012-11-22,14.60,10.11,6.00,11.70,8.85,NA,NA,NA,NA
2012-11-23,0.40,3.77,-1.10,8.00,3.45,NA,NA,NA,NA
2012-11-24,15.00,4.90,-0.90,9.10,4.10,NA,NA,NA,NA
2012-11-25,11.20,8.18,5.00,9.90,7.45,NA,NA,NA,NA
2012-11-26,3.40,6.34,5.40,7.60,6.50,NA,NA,NA,NA
2012-11-27,1.80,5.95,5.20,6.90,6.05,NA,NA,NA,NA
2012-11-28,0.00,4.31,0.40,5.40,2.90,NA,NA,NA,NA
2012-11-29,0.00,0.42,-3.30,4.60,0.65,80.83,0.51,NA,NA
2012-11-30,0.00,-0.36,-4.10,4.10,0.00,89.85,0.54,NA,NA
2012-12-01,0.00,0.62,-3.40,5.20,0.90,91.03,0.59,NA,NA
2012-12-02,2.40,0.82,-4.00,5.80,0.90,90.04,0.59,NA,NA
2012-12-03,3.60,5.82,1.60,9.60,5.60,90.92,0.86,NA,NA
2012-12-04,0.00,2.39,-1.80,6.50,2.35,87.07,0.63,NA,NA
2012-12-05,1.20,0.43,-3.30,3.20,-0.05,85.86,0.54,NA,NA
2012-12-06,3.40,-0.25,-5.70,4.60,-0.55,86.25,0.53,NA,NA
