Point_ID,Station_Name,File_Name,Latitude,Longitude,Easting,Northing
459,dunstable,00459_dunstable.csv,51.886,-0.54,500472,221883
463,luton-wardown-park,00463_luton-wardown-park.csv,51.897,-0.419,508772,223280
605,brize-norton,00605_brize-norton.csv,51.758,-1.578,429124,206725
606,oxford,00606_oxford.csv,51.761,-1.264,450790,207231
607,south-newington,00607_south-newington.csv,51.998,-1.406,440776,233498
613,benson,00613_benson.csv,51.62,-1.099,462370,191679
616,grendon-underwood,00616_grendon-underwood.csv,51.889,-1.016,467712,221667
617,amersham-no-2,00617_amersham-no-2.csv,51.668,-0.592,497362,197571
618,aylesbury,00618_aylesbury.csv,51.796,-0.782,483986,211568
620,chenies-no-2,00620_chenies-no-2.csv,51.69,-0.534,501323,200096
689,fairford-airfield,00689_fairford-airfield.csv,51.69,-1.773,415690,199103
692,little-rissington,00692_little-rissington.csv,51.861,-1.693,421139,218140
708,heathrow,00708_heathrow.csv,51.479,-0.451,507557,176752
709,northolt,00709_northolt.csv,51.549,-0.417,509749,184586
718,merrist-wood,00718_merrist-wood.csv,51.274,-0.618,496391,153725
719,wisley,00719_wisley.csv,51.311,-0.476,506209,158035
822,abingdon,00822_abingdon.csv,51.689,-1.308,447830,199194
823,compton,00823_compton.csv,51.518,-1.253,451826,180216
825,wallingford,00825_wallingford.csv,51.603,-1.113,461424,189776
827,arborfield-nat-inst-res-dairying,00827_arborfield-nat-inst-res-dairying.csv,51.41,-0.913,475592,168502
828,shinfield-nat-inst-res-dairying,00828_shinfield-nat-inst-res-dairying.csv,51.41,-0.953,472810,168461
829,shinfield-dept-agric-botany,00829_shinfield-dept-agric-botany.csv,51.412,-0.946,473294,168691
830,reading-university-whiteknights,00830_reading-university-whiteknights.csv,51.441,-0.938,473803,171923
832,reading-university,00832_reading-university.csv,51.45,-0.962,472121,172900
833,reading-seed-trial-grounds,00833_reading-seed-trial-grounds.csv,51.458,-0.939,473707,173813
834,finchampstead,00834_finchampstead.csv,51.363,-0.862,479220,163329
836,hurley-research-institute,00836_hurley-research-institute.csv,51.539,-0.815,482175,182952
838,bracknell-beaufort-park,00838_bracknell-beaufort-park.csv,51.39,-0.786,484460,166416
839,bracknell-met-office-hq,00839_bracknell-met-office-hq.csv,51.416,-0.745,487263,169356
869,south-farnborough,00869_south-farnborough.csv,51.28,-0.773,485569,154200
891,marlborough,00891_marlborough.csv,51.416,-1.735,418426,168642
17176,high-wycombe-hqair,17176_high-wycombe-hqair.csv,51.682,-0.807,482470,198863
19159,upper-lambourn,19159_upper-lambourn.csv,51.52,-1.549,431288,180270
